"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"CABRA"	"CREO"	"BIEN"	"WINAQ"	"FUERZA"	"SEMILLA"	"CONVERGENCIA"	"UNE"	"VIVA"	"UNIDOS"	"UNIONISTA"	"URNG_MAIZ"	"VAMOS"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"18041"	"4"	"17"	"10"	"2"	"380"	"79"	"45"	"4"	"0"	"5"	"4"	"0"	"32"	"3"	"2"	"2"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"181"	"181"	"17"	"10"	"27"	"208"	"208"	"1"	"0"
"18042"	"4"	"17"	"10"	"2"	"380"	"84"	"28"	"2"	"3"	"5"	"5"	"0"	"42"	"6"	"1"	"0"	"3"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"186"	"186"	"14"	"7"	"21"	"207"	"207"	"1"	"0"
"18043"	"4"	"17"	"10"	"2"	"377"	"69"	"28"	"6"	"3"	"6"	"7"	"0"	"38"	"6"	"0"	"1"	"4"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"183"	"183"	"23"	"3"	"26"	"209"	"209"	"1"	"0"
"18044"	"4"	"17"	"10"	"2"	"380"	"53"	"28"	"2"	"2"	"4"	"8"	"2"	"44"	"12"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"158"	"158"	"32"	"6"	"38"	"196"	"196"	"1"	"0"
"18045"	"4"	"17"	"10"	"2"	"338"	"52"	"33"	"1"	"3"	"6"	"0"	"1"	"39"	"5"	"1"	"2"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"148"	"148"	"11"	"4"	"15"	"163"	"163"	"1"	"0"
"18046"	"4"	"17"	"10"	"2"	"338"	"73"	"37"	"5"	"0"	"7"	"8"	"1"	"30"	"21"	"1"	"1"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"193"	"193"	"9"	"5"	"14"	"207"	"207"	"1"	"0"
"18047"	"4"	"17"	"10"	"2"	"380"	"41"	"31"	"1"	"0"	"3"	"2"	"0"	"32"	"74"	"1"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"188"	"188"	"11"	"9"	"0"	"208"	"208"	"1"	"0"
"18048"	"4"	"17"	"10"	"2"	"380"	"53"	"26"	"0"	"0"	"6"	"5"	"1"	"30"	"74"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"197"	"197"	"15"	"3"	"0"	"215"	"215"	"1"	"0"
"18049"	"4"	"17"	"10"	"2"	"332"	"37"	"24"	"1"	"2"	"3"	"4"	"1"	"26"	"58"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"158"	"158"	"13"	"8"	"0"	"179"	"179"	"1"	"0"
"18050"	"4"	"17"	"10"	"2"	"332"	"62"	"17"	"1"	"0"	"6"	"3"	"2"	"26"	"62"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"181"	"181"	"11"	"4"	"0"	"196"	"196"	"1"	"0"
