"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"BIEN"	"UNE"	"UCN"	"TODOS"	"VAMOS"	"VALOR"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"18988"	"4"	"19"	"4"	"2"	"402"	"5"	"76"	"193"	"20"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"299"	"299"	"6"	"1"	"0"	"306"	"306"	"1"	"0"
"18989"	"4"	"19"	"4"	"2"	"367"	"12"	"64"	"197"	"23"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"299"	"299"	"6"	"2"	"0"	"307"	"307"	"1"	"0"
"18990"	"4"	"19"	"4"	"2"	"367"	"17"	"49"	"163"	"14"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"11"	"6"	"0"	"264"	"264"	"1"	"0"
"18991"	"4"	"19"	"4"	"2"	"379"	"7"	"126"	"124"	"4"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"18"	"6"	"0"	"290"	"290"	"1"	"0"
"18992"	"4"	"19"	"4"	"2"	"380"	"4"	"117"	"113"	"7"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"18"	"12"	"0"	"276"	"276"	"1"	"0"
"18993"	"4"	"19"	"4"	"2"	"309"	"9"	"110"	"80"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"201"	"201"	"18"	"8"	"0"	"227"	"227"	"1"	"0"
"18994"	"4"	"19"	"4"	"2"	"310"	"8"	"103"	"88"	"5"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"17"	"4"	"0"	"229"	"229"	"1"	"0"
"18995"	"4"	"19"	"4"	"2"	"381"	"12"	"82"	"121"	"8"	"10"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"16"	"5"	"0"	"259"	"259"	"1"	"0"
"18996"	"4"	"19"	"4"	"2"	"380"	"22"	"85"	"121"	"9"	"8"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"21"	"9"	"0"	"277"	"277"	"1"	"0"
"18997"	"4"	"19"	"4"	"2"	"309"	"9"	"45"	"94"	"13"	"7"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"170"	"170"	"12"	"5"	"0"	"187"	"187"	"1"	"0"
