"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"VIVA"	"VICTORIA"	"WINAQ"	"PC"	"PODEMOS"	"VAMOS"	"VALOR"	"FUERZA"	"LIBRE"	"CREO"	"TODOS"	"SEMILLA"	"PPT"	"FCN_NACION"	"UCN"	"UNIONISTA"	"URNG_MAIZ"	"CONVERGENCIA"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"16938"	"4"	"16"	"9"	"2"	"380"	"24"	"14"	"136"	"2"	"5"	"9"	"4"	"1"	"2"	"2"	"0"	"1"	"1"	"0"	"16"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"219"	"27"	"15"	"0"	"263"	"261"	"0"	"0"
"16939"	"4"	"16"	"9"	"2"	"377"	"27"	"15"	"117"	"5"	"14"	"12"	"2"	"3"	"3"	"0"	"2"	"0"	"1"	"1"	"16"	"0"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"48"	"19"	"0"	"288"	"288"	"1"	"0"
"16940"	"4"	"16"	"9"	"2"	"380"	"17"	"19"	"119"	"3"	"3"	"9"	"4"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"20"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"203"	"203"	"33"	"13"	"0"	"249"	"249"	"1"	"0"
"16941"	"4"	"16"	"9"	"2"	"374"	"21"	"8"	"134"	"5"	"3"	"3"	"4"	"2"	"1"	"1"	"2"	"0"	"0"	"1"	"23"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"210"	"210"	"36"	"14"	"0"	"260"	"260"	"1"	"0"
"16942"	"4"	"16"	"9"	"2"	"380"	"19"	"11"	"148"	"0"	"3"	"8"	"1"	"0"	"3"	"1"	"0"	"0"	"0"	"0"	"9"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"42"	"16"	"0"	"266"	"266"	"1"	"0"
"16943"	"4"	"16"	"9"	"2"	"380"	"28"	"13"	"145"	"1"	"3"	"8"	"5"	"3"	"0"	"1"	"1"	"0"	"0"	"0"	"15"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"32"	"25"	"0"	"281"	"281"	"1"	"0"
"16944"	"4"	"16"	"9"	"2"	"400"	"29"	"15"	"156"	"0"	"3"	"8"	"0"	"1"	"0"	"3"	"0"	"0"	"0"	"0"	"11"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"35"	"15"	"0"	"277"	"277"	"1"	"0"
"16945"	"4"	"16"	"9"	"2"	"380"	"18"	"11"	"112"	"2"	"5"	"10"	"3"	"2"	"1"	"2"	"3"	"1"	"0"	"2"	"8"	"2"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"186"	"186"	"47"	"13"	"0"	"246"	"246"	"1"	"0"
"16946"	"4"	"16"	"9"	"2"	"380"	"13"	"12"	"126"	"1"	"4"	"14"	"0"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"12"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"187"	"187"	"38"	"14"	"0"	"239"	"239"	"1"	"0"
"16947"	"4"	"16"	"9"	"2"	"377"	"21"	"15"	"122"	"1"	"5"	"7"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"12"	"2"	"0"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"194"	"194"	"31"	"9"	"0"	"234"	"234"	"1"	"0"
"16948"	"4"	"16"	"9"	"2"	"311"	"8"	"16"	"106"	"1"	"5"	"6"	"2"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"154"	"154"	"13"	"4"	"0"	"171"	"171"	"1"	"0"
"16949"	"4"	"16"	"9"	"2"	"308"	"12"	"23"	"115"	"1"	"9"	"7"	"1"	"1"	"2"	"2"	"2"	"1"	"0"	"0"	"4"	"1"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"184"	"184"	"10"	"2"	"0"	"196"	"196"	"1"	"0"
"16950"	"4"	"16"	"9"	"2"	"380"	"48"	"53"	"67"	"21"	"10"	"1"	"2"	"3"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"18"	"5"	"0"	"239"	"239"	"1"	"0"
"16951"	"4"	"16"	"9"	"2"	"373"	"43"	"60"	"68"	"20"	"9"	"7"	"1"	"1"	"3"	"0"	"1"	"0"	"0"	"2"	"0"	"3"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"16"	"6"	"0"	"245"	"245"	"1"	"0"
"16952"	"4"	"16"	"9"	"2"	"379"	"61"	"61"	"51"	"20"	"5"	"2"	"0"	"5"	"2"	"0"	"2"	"2"	"0"	"2"	"4"	"2"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"39"	"5"	"0"	"269"	"269"	"1"	"0"
"16953"	"4"	"16"	"9"	"2"	"380"	"59"	"45"	"53"	"17"	"2"	"2"	"1"	"5"	"7"	"0"	"1"	"3"	"0"	"4"	"3"	"4"	"0"	"6"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"27"	"3"	"0"	"244"	"244"	"1"	"0"
"16954"	"4"	"16"	"9"	"2"	"264"	"27"	"28"	"40"	"10"	"6"	"3"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"122"	"122"	"19"	"9"	"0"	"150"	"150"	"1"	"0"
"16955"	"4"	"16"	"9"	"2"	"268"	"25"	"43"	"33"	"5"	"5"	"3"	"1"	"2"	"2"	"0"	"2"	"0"	"0"	"2"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"128"	"128"	"21"	"4"	"0"	"153"	"153"	"1"	"0"
"16956"	"4"	"16"	"9"	"2"	"380"	"41"	"22"	"75"	"36"	"6"	"2"	"1"	"5"	"0"	"0"	"0"	"0"	"1"	"0"	"8"	"0"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"201"	"201"	"40"	"6"	"0"	"247"	"247"	"1"	"0"
"16957"	"4"	"16"	"9"	"2"	"380"	"34"	"49"	"72"	"33"	"9"	"3"	"1"	"8"	"2"	"0"	"0"	"2"	"0"	"1"	"10"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"21"	"5"	"0"	"253"	"253"	"1"	"0"
"16958"	"4"	"16"	"9"	"2"	"380"	"35"	"24"	"96"	"25"	"7"	"4"	"0"	"6"	"3"	"1"	"0"	"0"	"0"	"1"	"18"	"1"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"24"	"7"	"0"	"255"	"255"	"1"	"0"
