"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"FUERZA"	"UCN"	"VAMOS"	"PODEMOS"	"FCN_NACION"	"UNE"	"LIBRE"	"VIVA"	"VICTORIA"	"PPT"	"EG"	"TODOS"	"SEMILLA"	"MLP"	"PC"	"PHG"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"6774"	"4"	"5"	"6"	"2"	"396"	"21"	"39"	"18"	"3"	"13"	"29"	"0"	"20"	"15"	"1"	"18"	"6"	"8"	"8"	"32"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"11"	"1"	"0"	"249"	"249"	"1"	"0"
"6775"	"4"	"5"	"6"	"2"	"396"	"27"	"41"	"14"	"2"	"13"	"27"	"3"	"13"	"16"	"1"	"23"	"6"	"19"	"2"	"26"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"12"	"4"	"1"	"251"	"251"	"1"	"0"
"6776"	"4"	"5"	"6"	"2"	"397"	"35"	"52"	"9"	"0"	"10"	"33"	"2"	"9"	"19"	"0"	"17"	"3"	"13"	"2"	"17"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"14"	"4"	"0"	"247"	"247"	"1"	"0"
"6777"	"4"	"5"	"6"	"2"	"400"	"44"	"45"	"15"	"3"	"12"	"36"	"2"	"14"	"13"	"0"	"20"	"6"	"12"	"1"	"28"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"263"	"7"	"3"	"0"	"273"	"273"	"0"	"0"
"6778"	"4"	"5"	"6"	"2"	"388"	"33"	"39"	"20"	"21"	"3"	"27"	"21"	"3"	"20"	"2"	"0"	"8"	"11"	"4"	"33"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"8"	"2"	"0"	"261"	"261"	"1"	"0"
"6779"	"4"	"5"	"6"	"2"	"393"	"33"	"42"	"12"	"2"	"7"	"37"	"0"	"15"	"18"	"1"	"21"	"6"	"13"	"1"	"32"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"15"	"4"	"0"	"260"	"260"	"1"	"0"
"6780"	"4"	"5"	"6"	"2"	"396"	"30"	"52"	"12"	"2"	"7"	"36"	"5"	"11"	"24"	"1"	"16"	"3"	"13"	"2"	"38"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"14"	"5"	"0"	"278"	"278"	"1"	"0"
"6781"	"4"	"5"	"6"	"2"	"400"	"27"	"48"	"9"	"2"	"7"	"35"	"4"	"12"	"21"	"3"	"15"	"6"	"12"	"3"	"23"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"7"	"3"	"0"	"246"	"246"	"1"	"0"
"6782"	"4"	"5"	"6"	"2"	"396"	"30"	"41"	"12"	"3"	"14"	"35"	"3"	"11"	"13"	"3"	"17"	"6"	"8"	"2"	"25"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"10"	"2"	"0"	"241"	"241"	"1"	"0"
"6783"	"4"	"5"	"6"	"2"	"400"	"27"	"46"	"5"	"0"	"7"	"29"	"2"	"13"	"18"	"2"	"13"	"5"	"11"	"3"	"29"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"1"	"0"	"12"	"217"	"217"	"1"	"0"
"6784"	"4"	"5"	"6"	"2"	"400"	"20"	"41"	"12"	"2"	"13"	"35"	"1"	"13"	"14"	"0"	"16"	"5"	"14"	"4"	"14"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"11"	"11"	"0"	"234"	"234"	"1"	"0"
"6785"	"4"	"5"	"6"	"2"	"396"	"27"	"43"	"12"	"3"	"9"	"22"	"2"	"20"	"26"	"1"	"21"	"3"	"8"	"2"	"27"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"2"	"6"	"0"	"241"	"237"	"0"	"0"
"6786"	"4"	"5"	"6"	"2"	"400"	"25"	"38"	"12"	"1"	"17"	"27"	"2"	"25"	"15"	"1"	"17"	"5"	"17"	"4"	"30"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"7"	"2"	"0"	"250"	"250"	"1"	"1"
