"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"COCERNA"	"COCIECH"	"URNG_MAIZ"	"PHG"	"BIEN"	"COCIEAR"	"PODEMOS"	"UNIDOS"	"VAMOS"	"MLP"	"FCN_NACION"	"SEMILLA"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"15843"	"4"	"15"	"3"	"2"	"400"	"20"	"76"	"26"	"6"	"8"	"2"	"37"	"8"	"3"	"54"	"3"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"17"	"2"	"0"	"266"	"266"	"1"	"0"
"15844"	"4"	"15"	"3"	"2"	"400"	"20"	"94"	"37"	"2"	"15"	"9"	"15"	"3"	"4"	"53"	"5"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"10"	"2"	"0"	"275"	"275"	"1"	"0"
"15845"	"4"	"15"	"3"	"2"	"400"	"24"	"85"	"32"	"10"	"11"	"8"	"23"	"1"	"4"	"75"	"12"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"290"	"290"	"2"	"2"	"0"	"294"	"294"	"1"	"0"
"15846"	"4"	"15"	"3"	"2"	"400"	"22"	"51"	"39"	"6"	"7"	"3"	"19"	"4"	"1"	"66"	"6"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"18"	"0"	"0"	"249"	"249"	"1"	"0"
"15847"	"4"	"15"	"3"	"2"	"396"	"28"	"62"	"30"	"5"	"10"	"6"	"20"	"5"	"4"	"47"	"10"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"9"	"3"	"0"	"246"	"246"	"1"	"0"
"15848"	"4"	"15"	"3"	"2"	"400"	"22"	"67"	"35"	"4"	"14"	"7"	"26"	"1"	"1"	"45"	"4"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"12"	"2"	"0"	"244"	"244"	"1"	"0"
"15849"	"4"	"15"	"3"	"2"	"396"	"26"	"78"	"31"	"6"	"8"	"1"	"19"	"4"	"2"	"50"	"11"	"1"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"4"	"0"	"0"	"248"	"248"	"1"	"0"
"15850"	"4"	"15"	"3"	"2"	"292"	"15"	"77"	"27"	"0"	"6"	"4"	"22"	"0"	"4"	"32"	"1"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"196"	"196"	"0"	"0"	"0"	"196"	"196"	"1"	"0"
"15851"	"4"	"15"	"3"	"2"	"291"	"21"	"50"	"24"	"3"	"5"	"5"	"13"	"1"	"4"	"31"	"2"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"166"	"166"	"4"	"0"	"0"	"170"	"170"	"1"	"0"
"15852"	"4"	"15"	"3"	"2"	"400"	"15"	"19"	"39"	"4"	"4"	"3"	"47"	"0"	"3"	"61"	"5"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"23"	"4"	"0"	"235"	"235"	"1"	"0"
"15853"	"4"	"15"	"3"	"2"	"400"	"20"	"27"	"58"	"4"	"9"	"3"	"37"	"3"	"2"	"39"	"7"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"25"	"5"	"0"	"242"	"242"	"1"	"1"
"15854"	"4"	"15"	"3"	"2"	"400"	"21"	"14"	"88"	"1"	"4"	"3"	"30"	"3"	"3"	"46"	"7"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"36"	"3"	"0"	"262"	"262"	"1"	"0"
