"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"FUERZA"	"TODOS"	"UNIONISTA"	"VALOR"	"UNE"	"VAMOS"	"PAN"	"LIBRE"	"FCN_NACION"	"UCN"	"VICTORIA"	"SEMILLA"	"PPT"	"PC"	"AVANZA"	"EG"	"VIVA"	"WINAQ_URNG"	"CREO"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"4625"	"4"	"1"	"17"	"2"	"381"	"15"	"11"	"13"	"76"	"38"	"9"	"10"	"5"	"4"	"1"	"6"	"16"	"1"	"1"	"1"	"0"	"17"	"7"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"234"	"13"	"7"	"0"	"255"	"254"	"0"	"0"
"4626"	"4"	"1"	"17"	"2"	"376"	"12"	"15"	"33"	"75"	"32"	"4"	"2"	"4"	"3"	"3"	"7"	"15"	"0"	"0"	"10"	"3"	"9"	"6"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"8"	"0"	"0"	"258"	"258"	"1"	"0"
"4627"	"4"	"1"	"17"	"1"	"376"	"4"	"11"	"39"	"61"	"26"	"4"	"15"	"0"	"3"	"0"	"0"	"29"	"0"	"1"	"5"	"8"	"13"	"6"	"8"	"0"	"0"	"29"	"0"	"1"	"5"	"8"	"13"	"6"	"8"	"0"	"233"	"233"	"13"	"3"	"0"	"249"	"249"	"1"	"0"
"4628"	"4"	"1"	"17"	"1"	"380"	"3"	"10"	"36"	"59"	"24"	"7"	"17"	"2"	"1"	"5"	"1"	"24"	"0"	"3"	"6"	"5"	"13"	"16"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"11"	"3"	"0"	"263"	"263"	"1"	"0"
"4629"	"4"	"1"	"17"	"1"	"380"	"4"	"6"	"26"	"67"	"20"	"4"	"20"	"2"	"4"	"3"	"3"	"25"	"0"	"4"	"7"	"7"	"6"	"14"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"8"	"3"	"0"	"245"	"245"	"1"	"0"
"4630"	"4"	"1"	"17"	"1"	"363"	"6"	"11"	"25"	"63"	"20"	"11"	"9"	"5"	"3"	"1"	"4"	"20"	"0"	"3"	"8"	"6"	"6"	"12"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"219"	"18"	"1"	"0"	"240"	"238"	"0"	"0"
"4631"	"4"	"1"	"17"	"1"	"380"	"1"	"5"	"45"	"65"	"23"	"8"	"13"	"2"	"4"	"5"	"4"	"19"	"1"	"3"	"9"	"7"	"10"	"13"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"245"	"19"	"1"	"0"	"262"	"265"	"0"	"0"
"4632"	"4"	"1"	"17"	"1"	"373"	"8"	"6"	"29"	"55"	"22"	"5"	"14"	"1"	"2"	"1"	"2"	"17"	"3"	"0"	"12"	"3"	"18"	"12"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"31"	"0"	"0"	"253"	"253"	"1"	"0"
"4633"	"4"	"1"	"17"	"1"	"376"	"7"	"12"	"34"	"57"	"20"	"3"	"6"	"3"	"2"	"2"	"0"	"16"	"0"	"3"	"11"	"7"	"13"	"16"	"16"	"0"	"0"	"16"	"0"	"3"	"11"	"7"	"13"	"16"	"16"	"0"	"228"	"228"	"9"	"3"	"1"	"241"	"240"	"0"	"0"
"4634"	"4"	"1"	"17"	"1"	"211"	"3"	"5"	"18"	"47"	"6"	"3"	"12"	"1"	"1"	"2"	"2"	"17"	"2"	"0"	"7"	"3"	"5"	"19"	"10"	"0"	"2"	"17"	"2"	"0"	"7"	"3"	"5"	"19"	"10"	"0"	"163"	"163"	"6"	"0"	"0"	"169"	"169"	"1"	"0"
"4635"	"4"	"1"	"17"	"1"	"211"	"2"	"5"	"26"	"30"	"10"	"3"	"10"	"4"	"2"	"0"	"0"	"11"	"0"	"1"	"1"	"1"	"8"	"5"	"4"	"0"	"0"	"11"	"0"	"1"	"1"	"1"	"8"	"5"	"4"	"0"	"123"	"123"	"4"	"0"	"0"	"127"	"127"	"1"	"0"
"4636"	"4"	"1"	"17"	"1"	"377"	"21"	"16"	"11"	"83"	"27"	"7"	"6"	"15"	"3"	"6"	"3"	"8"	"1"	"1"	"7"	"7"	"15"	"3"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"14"	"115"	"0"	"377"	"377"	"1"	"0"
"4637"	"4"	"1"	"17"	"1"	"377"	"24"	"5"	"14"	"94"	"19"	"6"	"9"	"14"	"6"	"3"	"2"	"7"	"0"	"1"	"8"	"4"	"12"	"5"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"15"	"4"	"0"	"259"	"259"	"1"	"0"
"4638"	"4"	"1"	"17"	"1"	"377"	"24"	"9"	"15"	"88"	"23"	"9"	"7"	"12"	"6"	"5"	"0"	"10"	"0"	"2"	"8"	"2"	"9"	"0"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"14"	"5"	"0"	"258"	"258"	"1"	"0"
"4639"	"4"	"1"	"17"	"1"	"379"	"29"	"4"	"16"	"86"	"18"	"5"	"9"	"13"	"7"	"2"	"2"	"18"	"0"	"0"	"9"	"6"	"2"	"9"	"11"	"0"	"2"	"18"	"0"	"0"	"9"	"6"	"2"	"9"	"11"	"0"	"246"	"246"	"15"	"5"	"0"	"266"	"266"	"1"	"0"
"4640"	"4"	"1"	"17"	"1"	"376"	"24"	"6"	"14"	"97"	"23"	"5"	"8"	"15"	"0"	"3"	"1"	"10"	"0"	"2"	"5"	"4"	"7"	"10"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"1"	"4"	"17"	"246"	"246"	"1"	"0"
"4641"	"4"	"1"	"17"	"1"	"376"	"35"	"8"	"13"	"104"	"23"	"7"	"4"	"12"	"4"	"2"	"3"	"12"	"0"	"0"	"4"	"0"	"8"	"4"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"4"	"2"	"0"	"262"	"262"	"1"	"0"
"4642"	"4"	"1"	"17"	"1"	"371"	"18"	"6"	"17"	"101"	"26"	"2"	"6"	"5"	"8"	"3"	"2"	"5"	"0"	"1"	"9"	"5"	"7"	"8"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"8"	"7"	"0"	"255"	"255"	"1"	"0"
