"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"PC"	"VAMOS"	"UCN"	"UNE"	"URNG_MAIZ"	"TODOS"	"VIVA"	"WINAQ"	"FCN_NACION"	"SEMILLA"	"UNIONISTA"	"CONVERGENCIA"	"VALOR"	"PHG"	"UNIDOS"	"COMITÉ_CÍVICO_EL_CAMPESINO"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"15639"	"4"	"14"	"20"	"2"	"375"	"3"	"23"	"4"	"25"	"22"	"2"	"14"	"0"	"2"	"11"	"0"	"3"	"4"	"2"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"121"	"121"	"13"	"5"	"0"	"139"	"139"	"1"	"0"
"15640"	"4"	"14"	"20"	"2"	"380"	"1"	"0"	"2"	"55"	"65"	"2"	"3"	"7"	"4"	"3"	"1"	"1"	"3"	"12"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"166"	"166"	"17"	"13"	"0"	"196"	"196"	"1"	"0"
"15641"	"4"	"14"	"20"	"2"	"380"	"5"	"2"	"5"	"55"	"86"	"4"	"0"	"2"	"4"	"4"	"1"	"1"	"4"	"8"	"2"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"190"	"190"	"9"	"5"	"0"	"204"	"204"	"1"	"0"
"15642"	"4"	"14"	"20"	"2"	"379"	"1"	"2"	"1"	"42"	"83"	"3"	"2"	"5"	"3"	"7"	"1"	"2"	"3"	"15"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"171"	"171"	"4"	"12"	"0"	"187"	"187"	"1"	"0"
"15643"	"4"	"14"	"20"	"2"	"377"	"3"	"0"	"5"	"39"	"69"	"0"	"2"	"3"	"1"	"2"	"1"	"2"	"4"	"17"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"152"	"152"	"10"	"6"	"0"	"168"	"168"	"1"	"0"
"15644"	"4"	"14"	"20"	"2"	"380"	"3"	"1"	"4"	"31"	"66"	"1"	"2"	"1"	"3"	"5"	"1"	"0"	"5"	"21"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"145"	"145"	"6"	"2"	"0"	"153"	"153"	"1"	"0"
"15645"	"4"	"14"	"20"	"2"	"380"	"0"	"3"	"1"	"49"	"60"	"1"	"0"	"1"	"9"	"2"	"0"	"0"	"5"	"14"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"148"	"148"	"5"	"9"	"0"	"162"	"162"	"1"	"0"
"15646"	"4"	"14"	"20"	"2"	"229"	"2"	"1"	"0"	"25"	"35"	"3"	"0"	"1"	"2"	"7"	"0"	"1"	"3"	"6"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"87"	"87"	"7"	"6"	"0"	"100"	"100"	"1"	"0"
"15647"	"4"	"14"	"20"	"2"	"229"	"0"	"0"	"0"	"26"	"38"	"2"	"0"	"1"	"2"	"2"	"0"	"1"	"2"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"78"	"78"	"1"	"1"	"0"	"80"	"80"	"1"	"0"
"15648"	"4"	"14"	"20"	"2"	"380"	"14"	"19"	"1"	"26"	"57"	"2"	"5"	"7"	"5"	"9"	"4"	"6"	"6"	"1"	"1"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"188"	"188"	"10"	"17"	"0"	"215"	"215"	"1"	"0"
"15649"	"4"	"14"	"20"	"2"	"380"	"11"	"13"	"1"	"24"	"81"	"2"	"8"	"3"	"2"	"2"	"9"	"0"	"16"	"1"	"0"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"189"	"189"	"6"	"5"	"0"	"200"	"200"	"1"	"0"
"15650"	"4"	"14"	"20"	"2"	"383"	"8"	"7"	"2"	"23"	"63"	"1"	"10"	"5"	"10"	"8"	"3"	"2"	"14"	"1"	"0"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"173"	"173"	"20"	"7"	"0"	"200"	"200"	"1"	"0"
"15651"	"4"	"14"	"20"	"2"	"380"	"10"	"5"	"0"	"34"	"74"	"2"	"27"	"7"	"1"	"11"	"6"	"5"	"7"	"1"	"0"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"16"	"9"	"0"	"225"	"225"	"1"	"0"
