"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"UNE"	"CREO"	"LIBRE"	"VIVA"	"URNG_MAIZ"	"PHG"	"TODOS"	"BIEN"	"FUERZA"	"SEMILLA"	"UNIONISTA"	"VALOR"	"MLP"	"VICTORIA"	"PC"	"FCN_NACION"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"12211"	"4"	"12"	"13"	"2"	"380"	"52"	"50"	"53"	"0"	"3"	"4"	"6"	"26"	"0"	"1"	"0"	"3"	"6"	"0"	"3"	"10"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"16"	"7"	"0"	"244"	"244"	"1"	"0"
"12212"	"4"	"12"	"13"	"2"	"380"	"60"	"50"	"57"	"0"	"2"	"5"	"1"	"14"	"3"	"2"	"0"	"3"	"4"	"0"	"8"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"213"	"213"	"13"	"13"	"0"	"239"	"239"	"1"	"0"
"12213"	"4"	"12"	"13"	"2"	"377"	"64"	"32"	"47"	"0"	"0"	"3"	"5"	"10"	"3"	"3"	"0"	"5"	"7"	"1"	"6"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"191"	"191"	"22"	"8"	"0"	"221"	"221"	"1"	"0"
"12214"	"4"	"12"	"13"	"2"	"380"	"70"	"23"	"44"	"1"	"0"	"0"	"4"	"15"	"4"	"0"	"0"	"2"	"3"	"1"	"7"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"181"	"181"	"10"	"5"	"0"	"196"	"196"	"1"	"0"
"12215"	"4"	"12"	"13"	"2"	"380"	"58"	"25"	"61"	"1"	"1"	"2"	"8"	"8"	"6"	"2"	"2"	"2"	"4"	"0"	"5"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"190"	"190"	"18"	"4"	"0"	"212"	"212"	"1"	"0"
"12216"	"4"	"12"	"13"	"2"	"380"	"59"	"33"	"47"	"0"	"3"	"2"	"5"	"11"	"3"	"1"	"1"	"4"	"4"	"1"	"3"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"182"	"182"	"7"	"9"	"0"	"198"	"198"	"1"	"0"
"12217"	"4"	"12"	"13"	"2"	"379"	"65"	"41"	"36"	"0"	"1"	"2"	"0"	"10"	"2"	"3"	"1"	"1"	"6"	"0"	"4"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"175"	"175"	"7"	"2"	"0"	"184"	"184"	"1"	"0"
"12218"	"4"	"12"	"13"	"2"	"239"	"52"	"19"	"29"	"0"	"2"	"1"	"6"	"7"	"3"	"2"	"0"	"6"	"5"	"1"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"138"	"138"	"2"	"0"	"0"	"140"	"140"	"1"	"0"
"12219"	"4"	"12"	"13"	"2"	"239"	"41"	"19"	"43"	"0"	"3"	"0"	"7"	"2"	"1"	"0"	"1"	"3"	"4"	"0"	"4"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"133"	"133"	"2"	"1"	"0"	"136"	"136"	"1"	"0"
"12220"	"4"	"12"	"13"	"2"	"380"	"28"	"23"	"63"	"10"	"1"	"4"	"12"	"31"	"1"	"2"	"1"	"1"	"0"	"11"	"2"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"195"	"195"	"20"	"7"	"0"	"222"	"222"	"1"	"0"
"12221"	"4"	"12"	"13"	"2"	"380"	"30"	"30"	"55"	"7"	"1"	"2"	"11"	"35"	"1"	"3"	"0"	"0"	"2"	"13"	"0"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"196"	"196"	"16"	"4"	"0"	"216"	"216"	"1"	"0"
