"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"TODOS"	"VALOR"	"FUERZA"	"VIVA"	"UNE"	"URNG_MAIZ"	"VAMOS"	"FCN_NACION"	"CREO"	"LIBRE"	"UNIONISTA"	"SEMILLA"	"VICTORIA"	"PAN"	"AVANZA"	"UCN"	"DIGNIDAD"	"MLP"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"3616"	"4"	"1"	"14"	"2"	"399"	"8"	"106"	"13"	"5"	"29"	"2"	"9"	"11"	"14"	"6"	"2"	"34"	"4"	"4"	"0"	"0"	"12"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"15"	"124"	"0"	"399"	"399"	"1"	"0"
"3617"	"4"	"1"	"14"	"2"	"400"	"4"	"82"	"7"	"7"	"39"	"4"	"20"	"11"	"11"	"3"	"0"	"42"	"9"	"2"	"5"	"0"	"13"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"8"	"3"	"0"	"272"	"272"	"1"	"0"
"3618"	"4"	"1"	"14"	"2"	"397"	"5"	"101"	"9"	"7"	"24"	"2"	"13"	"10"	"12"	"10"	"1"	"61"	"3"	"3"	"1"	"0"	"10"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"276"	"276"	"5"	"0"	"0"	"281"	"281"	"1"	"0"
"3619"	"4"	"1"	"14"	"2"	"400"	"6"	"112"	"6"	"4"	"24"	"4"	"9"	"7"	"16"	"8"	"2"	"46"	"11"	"7"	"1"	"0"	"14"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"280"	"280"	"9"	"2"	"0"	"291"	"291"	"1"	"0"
"3620"	"4"	"1"	"14"	"2"	"400"	"9"	"115"	"10"	"4"	"24"	"8"	"8"	"4"	"6"	"6"	"1"	"50"	"9"	"4"	"0"	"1"	"15"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"8"	"0"	"0"	"289"	"289"	"1"	"0"
"3621"	"4"	"1"	"14"	"2"	"398"	"10"	"97"	"9"	"3"	"27"	"7"	"8"	"10"	"12"	"7"	"2"	"38"	"12"	"2"	"1"	"0"	"7"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"9"	"2"	"0"	"269"	"269"	"1"	"0"
"3622"	"4"	"1"	"14"	"1"	"398"	"3"	"103"	"10"	"8"	"26"	"10"	"14"	"9"	"9"	"7"	"2"	"39"	"9"	"6"	"2"	"0"	"16"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"275"	"12"	"1"	"0"	"288"	"288"	"1"	"0"
"3623"	"4"	"1"	"14"	"2"	"396"	"8"	"74"	"7"	"4"	"25"	"1"	"7"	"15"	"12"	"3"	"2"	"30"	"12"	"7"	"2"	"1"	"14"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"9"	"1"	"0"	"236"	"236"	"1"	"0"
"3624"	"4"	"1"	"14"	"2"	"400"	"7"	"108"	"8"	"6"	"19"	"11"	"7"	"13"	"7"	"5"	"2"	"30"	"7"	"6"	"3"	"1"	"6"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"10"	"1"	"0"	"260"	"260"	"1"	"0"
"3625"	"4"	"1"	"14"	"2"	"396"	"6"	"101"	"7"	"7"	"25"	"2"	"7"	"12"	"11"	"4"	"0"	"35"	"6"	"4"	"2"	"0"	"9"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"8"	"0"	"0"	"251"	"251"	"1"	"0"
