"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"TODOS"	"VAMOS"	"VIVA"	"UNIDOS"	"EG"	"PPT"	"SEMILLA"	"LIBRE"	"URNG_MAIZ"	"UNIONISTA"	"VICTORIA"	"PHG"	"PC"	"FCN_NACION"	"AVANZA"	"PAN"	"VALOR"	"BIEN"	"CREO"	"UNE"	"MLP"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"3380"	"4"	"1"	"10"	"1"	"380"	"135"	"6"	"5"	"0"	"3"	"1"	"1"	"2"	"5"	"14"	"4"	"1"	"1"	"5"	"2"	"6"	"1"	"7"	"1"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"209"	"209"	"15"	"4"	"10"	"228"	"228"	"1"	"0"
"3381"	"4"	"1"	"10"	"1"	"0"	"126"	"8"	"12"	"0"	"3"	"1"	"0"	"0"	"1"	"15"	"5"	"6"	"2"	"2"	"3"	"2"	"3"	"7"	"1"	"12"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"211"	"210"	"13"	"3"	"0"	"227"	"226"	"0"	"0"
"3382"	"4"	"1"	"10"	"1"	"0"	"119"	"8"	"10"	"3"	"1"	"4"	"3"	"2"	"11"	"4"	"4"	"9"	"0"	"3"	"1"	"2"	"2"	"8"	"4"	"11"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"7"	"6"	"0"	"225"	"225"	"1"	"0"
"3383"	"4"	"1"	"10"	"1"	"0"	"128"	"3"	"8"	"2"	"4"	"2"	"6"	"2"	"9"	"13"	"5"	"8"	"0"	"7"	"2"	"6"	"2"	"2"	"2"	"12"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"13"	"1"	"0"	"238"	"238"	"1"	"0"
"3384"	"4"	"1"	"10"	"1"	"380"	"120"	"10"	"15"	"2"	"1"	"1"	"1"	"1"	"6"	"11"	"7"	"4"	"2"	"5"	"0"	"3"	"4"	"3"	"6"	"13"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"6"	"0"	"0"	"224"	"224"	"1"	"0"
"3385"	"4"	"1"	"10"	"1"	"219"	"132"	"3"	"7"	"0"	"1"	"1"	"6"	"1"	"9"	"18"	"6"	"3"	"0"	"7"	"1"	"3"	"2"	"4"	"4"	"7"	"6"	"3"	"0"	"7"	"1"	"3"	"2"	"4"	"4"	"7"	"219"	"219"	"10"	"0"	"9"	"229"	"229"	"1"	"0"
"3386"	"4"	"1"	"10"	"1"	"380"	"131"	"6"	"13"	"1"	"3"	"1"	"4"	"1"	"11"	"11"	"9"	"6"	"0"	"7"	"3"	"4"	"2"	"3"	"1"	"10"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"9"	"2"	"1"	"241"	"240"	"0"	"0"
"3387"	"4"	"1"	"10"	"1"	"380"	"128"	"8"	"7"	"1"	"0"	"1"	"4"	"1"	"7"	"28"	"2"	"14"	"0"	"1"	"6"	"3"	"3"	"2"	"3"	"9"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"12"	"2"	"3"	"244"	"244"	"1"	"0"
"3388"	"4"	"1"	"10"	"1"	"380"	"121"	"4"	"9"	"0"	"3"	"1"	"3"	"0"	"12"	"18"	"2"	"7"	"1"	"3"	"3"	"2"	"2"	"8"	"1"	"10"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"7"	"2"	"0"	"221"	"221"	"1"	"0"
"3389"	"4"	"1"	"10"	"1"	"380"	"110"	"1"	"11"	"3"	"4"	"2"	"1"	"0"	"6"	"9"	"4"	"7"	"1"	"6"	"4"	"4"	"1"	"7"	"0"	"16"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"11"	"3"	"0"	"214"	"214"	"1"	"1"
"3390"	"4"	"1"	"10"	"1"	"205"	"103"	"4"	"7"	"1"	"0"	"2"	"1"	"0"	"11"	"14"	"3"	"2"	"1"	"5"	"3"	"1"	"0"	"7"	"7"	"18"	"3"	"2"	"1"	"5"	"3"	"1"	"0"	"7"	"7"	"18"	"193"	"192"	"9"	"3"	"0"	"205"	"204"	"0"	"0"
"3391"	"4"	"1"	"10"	"1"	"386"	"109"	"7"	"9"	"1"	"0"	"0"	"4"	"1"	"7"	"9"	"5"	"3"	"0"	"4"	"7"	"3"	"1"	"5"	"3"	"12"	"5"	"3"	"0"	"4"	"7"	"3"	"1"	"5"	"3"	"12"	"192"	"192"	"14"	"4"	"0"	"210"	"210"	"1"	"0"
"3392"	"4"	"1"	"10"	"1"	"380"	"131"	"8"	"4"	"1"	"1"	"1"	"2"	"1"	"3"	"10"	"1"	"4"	"1"	"9"	"6"	"0"	"1"	"3"	"1"	"8"	"1"	"4"	"1"	"9"	"6"	"0"	"1"	"3"	"1"	"8"	"196"	"196"	"3"	"1"	"0"	"200"	"200"	"1"	"0"
"3393"	"4"	"1"	"10"	"1"	"380"	"120"	"3"	"2"	"3"	"0"	"3"	"6"	"1"	"8"	"13"	"5"	"5"	"1"	"5"	"2"	"3"	"0"	"5"	"3"	"14"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"205"	"205"	"3"	"3"	"0"	"211"	"211"	"1"	"0"
