"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"VAMOS"	"PAN"	"UCN"	"TODOS"	"FUERZA"	"PC"	"VIVA"	"BIEN"	"SEMILLA"	"VALOR"	"FCN_NACION"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"6871"	"4"	"5"	"7"	"2"	"372"	"50"	"14"	"5"	"79"	"14"	"3"	"48"	"5"	"6"	"0"	"2"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"23"	"8"	"0"	"271"	"271"	"1"	"0"
"6872"	"4"	"5"	"7"	"2"	"380"	"41"	"12"	"3"	"78"	"12"	"0"	"41"	"10"	"3"	"1"	"2"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"20"	"0"	"0"	"238"	"238"	"1"	"2"
"6873"	"4"	"5"	"7"	"2"	"373"	"46"	"17"	"4"	"86"	"22"	"2"	"39"	"11"	"6"	"0"	"1"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"12"	"4"	"0"	"265"	"265"	"1"	"0"
"6874"	"4"	"5"	"7"	"2"	"380"	"51"	"10"	"4"	"89"	"13"	"1"	"35"	"13"	"6"	"2"	"5"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"30"	"3"	"0"	"276"	"276"	"1"	"0"
"6875"	"4"	"5"	"7"	"2"	"301"	"47"	"9"	"6"	"54"	"14"	"0"	"26"	"5"	"4"	"1"	"1"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"177"	"177"	"10"	"6"	"0"	"193"	"193"	"1"	"0"
"6876"	"4"	"5"	"7"	"2"	"301"	"47"	"11"	"5"	"84"	"12"	"2"	"33"	"8"	"1"	"1"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"210"	"210"	"3"	"1"	"0"	"214"	"214"	"1"	"0"
"6877"	"4"	"5"	"7"	"2"	"0"	"98"	"8"	"6"	"28"	"71"	"2"	"33"	"15"	"9"	"2"	"4"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"284"	"284"	"13"	"4"	"0"	"301"	"301"	"1"	"0"
"6878"	"4"	"5"	"7"	"2"	"229"	"54"	"2"	"8"	"17"	"34"	"5"	"14"	"8"	"10"	"1"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"158"	"158"	"7"	"6"	"0"	"171"	"171"	"1"	"0"
"6879"	"4"	"5"	"7"	"2"	"232"	"40"	"1"	"4"	"16"	"39"	"2"	"16"	"6"	"7"	"0"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"135"	"135"	"4"	"1"	"0"	"140"	"140"	"1"	"0"
"6880"	"4"	"5"	"7"	"2"	"374"	"109"	"8"	"8"	"3"	"50"	"4"	"73"	"6"	"8"	"6"	"1"	"24"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"300"	"300"	"15"	"5"	"0"	"320"	"320"	"1"	"0"
"6881"	"4"	"5"	"7"	"2"	"376"	"130"	"10"	"10"	"8"	"31"	"0"	"67"	"8"	"7"	"3"	"3"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"302"	"302"	"11"	"5"	"0"	"318"	"318"	"1"	"0"
"6882"	"4"	"5"	"7"	"2"	"376"	"128"	"13"	"5"	"10"	"25"	"7"	"71"	"7"	"7"	"4"	"1"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"298"	"298"	"8"	"3"	"0"	"309"	"309"	"1"	"0"
"6883"	"4"	"5"	"7"	"2"	"269"	"67"	"4"	"5"	"9"	"28"	"4"	"43"	"8"	"6"	"2"	"3"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"198"	"198"	"7"	"1"	"0"	"206"	"206"	"1"	"0"
"6884"	"4"	"5"	"7"	"2"	"269"	"95"	"3"	"3"	"6"	"26"	"9"	"47"	"1"	"1"	"6"	"3"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"215"	"5"	"48"	"0"	"269"	"268"	"0"	"0"
"6885"	"4"	"5"	"7"	"2"	"600"	"70"	"4"	"12"	"29"	"6"	"3"	"35"	"25"	"5"	"4"	"3"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"213"	"213"	"15"	"5"	"0"	"233"	"233"	"1"	"0"
"6886"	"4"	"5"	"7"	"2"	"594"	"46"	"3"	"9"	"21"	"11"	"1"	"55"	"15"	"10"	"7"	"7"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"205"	"205"	"6"	"3"	"0"	"214"	"214"	"1"	"0"
"6887"	"4"	"5"	"7"	"2"	"600"	"22"	"7"	"5"	"16"	"9"	"1"	"31"	"8"	"4"	"3"	"4"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"128"	"128"	"5"	"6"	"0"	"139"	"139"	"1"	"0"
"6888"	"4"	"5"	"7"	"2"	"365"	"21"	"2"	"4"	"9"	"4"	"1"	"11"	"4"	"1"	"1"	"2"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"70"	"70"	"6"	"0"	"0"	"76"	"76"	"1"	"0"
"6889"	"4"	"5"	"7"	"2"	"363"	"4"	"1"	"0"	"3"	"0"	"0"	"8"	"4"	"0"	"2"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"27"	"27"	"1"	"1"	"0"	"29"	"29"	"1"	"0"
