"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"LA_MUTA"	"UNE"	"VALOR"	"VIVA"	"LIBRE"	"CONVERGENCIA"	"CREO"	"TODOS"	"PPT"	"PHG"	"CHIQUMULA_VERDE"	"AVANZA"	"PAN"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"19217"	"4"	"20"	"1"	"2"	"393"	"27"	"70"	"18"	"27"	"19"	"32"	"2"	"18"	"14"	"0"	"9"	"22"	"7"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"5"	"3"	"0"	"277"	"277"	"1"	"0"
"19218"	"4"	"20"	"1"	"2"	"400"	"27"	"63"	"18"	"13"	"15"	"33"	"1"	"10"	"11"	"2"	"6"	"15"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"14"	"2"	"0"	"237"	"237"	"1"	"0"
"19219"	"4"	"20"	"1"	"2"	"0"	"25"	"55"	"19"	"11"	"11"	"24"	"2"	"13"	"19"	"1"	"6"	"9"	"6"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"206"	"206"	"6"	"1"	"0"	"213"	"213"	"1"	"0"
"19220"	"4"	"20"	"1"	"2"	"239"	"13"	"38"	"8"	"14"	"9"	"14"	"0"	"9"	"8"	"0"	"3"	"3"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"124"	"124"	"4"	"2"	"0"	"130"	"130"	"1"	"0"
"19221"	"4"	"20"	"1"	"2"	"241"	"11"	"27"	"20"	"11"	"7"	"18"	"2"	"10"	"6"	"0"	"4"	"6"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"123"	"123"	"4"	"1"	"0"	"128"	"128"	"1"	"0"
"19222"	"4"	"20"	"1"	"2"	"400"	"25"	"72"	"29"	"8"	"15"	"45"	"3"	"9"	"12"	"3"	"0"	"14"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"236"	"10"	"3"	"0"	"264"	"249"	"0"	"0"
"19223"	"4"	"20"	"1"	"2"	"396"	"22"	"65"	"19"	"11"	"5"	"26"	"2"	"9"	"10"	"1"	"14"	"10"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"199"	"199"	"13"	"5"	"0"	"217"	"217"	"1"	"0"
"19224"	"4"	"20"	"1"	"2"	"357"	"26"	"65"	"15"	"11"	"10"	"29"	"4"	"11"	"9"	"1"	"13"	"11"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"7"	"0"	"0"	"214"	"214"	"1"	"0"
"19225"	"4"	"20"	"1"	"2"	"357"	"25"	"54"	"27"	"6"	"6"	"11"	"1"	"10"	"6"	"2"	"5"	"10"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"168"	"168"	"7"	"3"	"0"	"178"	"178"	"1"	"0"
"19226"	"4"	"20"	"1"	"2"	"400"	"20"	"48"	"20"	"21"	"18"	"20"	"2"	"5"	"15"	"3"	"5"	"11"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"189"	"189"	"6"	"3"	"9"	"198"	"198"	"1"	"0"
