"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UNE"	"VALOR"	"UCN"	"PC"	"PAN"	"PHG"	"TODOS"	"CREO"	"FCN_NACION"	"MLP"	"LIBRE"	"SEMILLA"	"UNIONISTA"	"BIEN"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"18552"	"4"	"18"	"3"	"2"	"380"	"6"	"50"	"2"	"34"	"101"	"0"	"9"	"45"	"20"	"2"	"1"	"2"	"41"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"313"	"313"	"15"	"5"	"0"	"333"	"333"	"1"	"0"
"18553"	"4"	"18"	"3"	"2"	"381"	"11"	"44"	"1"	"31"	"123"	"0"	"3"	"47"	"25"	"0"	"1"	"1"	"28"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"315"	"315"	"12"	"1"	"0"	"328"	"328"	"1"	"0"
"18554"	"4"	"18"	"3"	"2"	"380"	"5"	"43"	"0"	"23"	"107"	"0"	"4"	"58"	"18"	"0"	"1"	"0"	"29"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"288"	"288"	"10"	"2"	"0"	"300"	"300"	"1"	"0"
"18555"	"4"	"18"	"3"	"2"	"380"	"10"	"45"	"1"	"35"	"77"	"0"	"10"	"65"	"19"	"0"	"4"	"1"	"31"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"299"	"299"	"20"	"3"	"0"	"322"	"322"	"1"	"0"
"18556"	"4"	"18"	"3"	"2"	"378"	"4"	"36"	"1"	"30"	"97"	"0"	"9"	"68"	"23"	"0"	"0"	"0"	"22"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"292"	"291"	"19"	"3"	"0"	"314"	"313"	"0"	"0"
"18557"	"4"	"18"	"3"	"2"	"380"	"10"	"35"	"1"	"24"	"77"	"1"	"15"	"61"	"24"	"1"	"2"	"0"	"32"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"284"	"284"	"19"	"3"	"0"	"306"	"306"	"1"	"0"
"18558"	"4"	"18"	"3"	"2"	"380"	"4"	"24"	"2"	"46"	"89"	"0"	"4"	"63"	"28"	"2"	"3"	"1"	"27"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"294"	"294"	"13"	"3"	"0"	"310"	"310"	"1"	"0"
"18559"	"4"	"18"	"3"	"2"	"204"	"6"	"16"	"0"	"19"	"73"	"0"	"2"	"32"	"14"	"1"	"0"	"0"	"15"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"180"	"180"	"4"	"1"	"0"	"185"	"185"	"1"	"0"
"18560"	"4"	"18"	"3"	"2"	"203"	"6"	"18"	"1"	"20"	"47"	"0"	"3"	"30"	"13"	"0"	"2"	"0"	"19"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"160"	"160"	"5"	"1"	"0"	"166"	"166"	"1"	"0"
"18561"	"4"	"18"	"3"	"2"	"380"	"4"	"57"	"3"	"9"	"52"	"0"	"6"	"52"	"63"	"1"	"0"	"2"	"5"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"23"	"4"	"0"	"284"	"284"	"1"	"0"
"18562"	"4"	"18"	"3"	"2"	"380"	"2"	"48"	"4"	"17"	"54"	"0"	"7"	"58"	"57"	"1"	"1"	"6"	"2"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"265"	"265"	"23"	"2"	"0"	"290"	"290"	"1"	"0"
"18563"	"4"	"18"	"3"	"2"	"380"	"3"	"34"	"3"	"5"	"42"	"0"	"4"	"51"	"87"	"3"	"1"	"1"	"3"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"12"	"7"	"0"	"262"	"262"	"1"	"0"
"18564"	"4"	"18"	"3"	"2"	"380"	"4"	"56"	"2"	"11"	"39"	"0"	"3"	"49"	"62"	"2"	"1"	"1"	"2"	"2"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"20"	"3"	"0"	"265"	"265"	"1"	"0"
"18565"	"4"	"18"	"3"	"2"	"380"	"4"	"75"	"3"	"9"	"42"	"1"	"2"	"43"	"60"	"3"	"3"	"1"	"1"	"6"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"17"	"4"	"0"	"285"	"285"	"1"	"0"
"18566"	"4"	"18"	"3"	"2"	"359"	"3"	"47"	"1"	"9"	"37"	"2"	"1"	"30"	"48"	"2"	"2"	"0"	"1"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"191"	"191"	"34"	"9"	"0"	"234"	"234"	"1"	"0"
