"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"CREO"	"TODOS"	"EG"	"EL_ZOMPOPO"	"PHG"	"FCN_NACION"	"PPT"	"UNE"	"CASA"	"PODEMOS"	"CHICH"	"FUERZA"	"PC"	"BIEN"	"UNIONISTA"	"UCN"	"MLP"	"SOL"	"LIBRE"	"SEMILLA"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"5255"	"4"	"3"	"1"	"2"	"400"	"19"	"7"	"7"	"2"	"9"	"6"	"3"	"2"	"49"	"19"	"2"	"47"	"6"	"3"	"0"	"7"	"0"	"4"	"14"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"210"	"210"	"12"	"6"	"0"	"228"	"228"	"1"	"0"
"5256"	"4"	"3"	"1"	"2"	"400"	"32"	"5"	"7"	"2"	"21"	"5"	"5"	"1"	"39"	"21"	"7"	"30"	"5"	"3"	"4"	"3"	"1"	"7"	"8"	"0"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"8"	"3"	"0"	"227"	"227"	"1"	"0"
"5257"	"4"	"3"	"1"	"2"	"336"	"28"	"6"	"1"	"2"	"27"	"5"	"2"	"2"	"31"	"21"	"5"	"39"	"6"	"5"	"6"	"2"	"1"	"1"	"12"	"1"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"2"	"1"	"0"	"218"	"218"	"1"	"0"
"5258"	"4"	"3"	"1"	"2"	"336"	"21"	"9"	"1"	"2"	"19"	"7"	"7"	"1"	"41"	"18"	"4"	"38"	"13"	"5"	"4"	"4"	"1"	"1"	"5"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"2"	"1"	"0"	"211"	"211"	"1"	"0"
"5259"	"4"	"3"	"1"	"2"	"375"	"40"	"3"	"4"	"2"	"11"	"3"	"5"	"2"	"18"	"13"	"2"	"97"	"1"	"9"	"2"	"3"	"0"	"3"	"28"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"14"	"1"	"0"	"262"	"262"	"1"	"0"
"5260"	"4"	"3"	"1"	"2"	"380"	"68"	"0"	"3"	"5"	"14"	"0"	"5"	"0"	"26"	"8"	"4"	"77"	"0"	"10"	"0"	"3"	"1"	"1"	"48"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"275"	"9"	"1"	"0"	"285"	"285"	"1"	"0"
"5261"	"4"	"3"	"1"	"2"	"380"	"38"	"2"	"1"	"0"	"0"	"2"	"5"	"2"	"30"	"8"	"3"	"89"	"0"	"6"	"0"	"2"	"1"	"1"	"43"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"234"	"6"	"2"	"0"	"254"	"242"	"0"	"0"
"5262"	"4"	"3"	"1"	"2"	"376"	"36"	"5"	"9"	"2"	"13"	"1"	"0"	"3"	"22"	"9"	"3"	"106"	"1"	"5"	"0"	"2"	"0"	"0"	"31"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"9"	"1"	"0"	"259"	"259"	"1"	"0"
"5263"	"4"	"3"	"1"	"2"	"374"	"27"	"2"	"2"	"1"	"10"	"0"	"3"	"2"	"20"	"15"	"1"	"110"	"3"	"6"	"1"	"2"	"2"	"1"	"39"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"15"	"9"	"0"	"272"	"272"	"1"	"0"
"5264"	"4"	"3"	"1"	"2"	"259"	"22"	"2"	"3"	"3"	"8"	"1"	"1"	"0"	"16"	"8"	"1"	"52"	"2"	"2"	"0"	"4"	"0"	"0"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"144"	"144"	"8"	"1"	"0"	"153"	"153"	"1"	"0"
"5265"	"4"	"3"	"1"	"2"	"259"	"30"	"3"	"4"	"1"	"11"	"1"	"2"	"0"	"16"	"9"	"1"	"56"	"0"	"4"	"0"	"1"	"0"	"1"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"163"	"163"	"1"	"0"	"0"	"164"	"164"	"1"	"0"
"5266"	"4"	"3"	"1"	"2"	"601"	"18"	"6"	"4"	"1"	"23"	"3"	"0"	"4"	"37"	"25"	"9"	"41"	"7"	"4"	"7"	"3"	"0"	"4"	"20"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"21"	"10"	"0"	"255"	"255"	"1"	"0"
"5267"	"4"	"3"	"1"	"2"	"600"	"19"	"6"	"4"	"3"	"26"	"5"	"4"	"6"	"44"	"33"	"6"	"37"	"14"	"5"	"3"	"2"	"0"	"2"	"13"	"0"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"10"	"2"	"0"	"255"	"255"	"1"	"0"
"5268"	"4"	"3"	"1"	"2"	"600"	"19"	"8"	"6"	"2"	"25"	"6"	"4"	"3"	"51"	"38"	"6"	"50"	"10"	"4"	"4"	"3"	"2"	"3"	"12"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"17"	"3"	"0"	"280"	"280"	"1"	"0"
"5269"	"4"	"3"	"1"	"2"	"600"	"29"	"6"	"6"	"5"	"25"	"3"	"0"	"4"	"46"	"44"	"10"	"65"	"8"	"2"	"5"	"8"	"1"	"2"	"13"	"0"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"295"	"295"	"19"	"3"	"0"	"317"	"317"	"1"	"0"
"5270"	"4"	"3"	"1"	"2"	"545"	"21"	"8"	"7"	"1"	"27"	"3"	"5"	"5"	"46"	"37"	"8"	"59"	"8"	"5"	"8"	"4"	"0"	"5"	"24"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"284"	"284"	"19"	"8"	"0"	"311"	"311"	"1"	"0"
