"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"BIEN"	"UCN"	"FCN_NACION"	"UNE"	"CREO"	"UNIONISTA"	"VAMOS"	"URNG_MAIZ"	"SEMILLA"	"VIVA"	"FUERZA"	"MLP"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"18137"	"4"	"17"	"12"	"2"	"400"	"5"	"68"	"42"	"20"	"1"	"5"	"3"	"2"	"2"	"53"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"6"	"2"	"0"	"215"	"215"	"1"	"0"
"18138"	"4"	"17"	"12"	"2"	"400"	"3"	"84"	"43"	"13"	"3"	"7"	"4"	"5"	"7"	"58"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"4"	"2"	"0"	"239"	"239"	"1"	"0"
"18139"	"4"	"17"	"12"	"2"	"400"	"6"	"68"	"44"	"10"	"3"	"8"	"1"	"0"	"3"	"76"	"8"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"8"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"1"	"0"	"0"	"230"	"230"	"1"	"0"
"18140"	"4"	"17"	"12"	"2"	"402"	"3"	"85"	"59"	"10"	"1"	"4"	"2"	"1"	"2"	"79"	"3"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"0"	"1"	"0"	"255"	"255"	"1"	"0"
"18141"	"4"	"17"	"12"	"2"	"223"	"7"	"47"	"28"	"10"	"1"	"4"	"2"	"0"	"0"	"41"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"143"	"143"	"5"	"2"	"0"	"150"	"150"	"1"	"0"
"18142"	"4"	"17"	"12"	"2"	"223"	"4"	"32"	"18"	"4"	"1"	"1"	"2"	"1"	"1"	"25"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"92"	"92"	"4"	"0"	"1"	"96"	"96"	"1"	"0"
"18143"	"4"	"17"	"12"	"2"	"406"	"9"	"58"	"38"	"25"	"2"	"19"	"1"	"2"	"1"	"56"	"8"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"8"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"23"	"7"	"0"	"253"	"253"	"1"	"0"
"18144"	"4"	"17"	"12"	"2"	"400"	"7"	"71"	"33"	"21"	"5"	"12"	"1"	"2"	"4"	"61"	"5"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"22"	"4"	"0"	"253"	"253"	"1"	"0"
"18145"	"4"	"17"	"12"	"2"	"400"	"13"	"68"	"37"	"36"	"2"	"18"	"1"	"2"	"2"	"52"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"12"	"7"	"0"	"257"	"257"	"1"	"0"
"18146"	"4"	"17"	"12"	"2"	"400"	"16"	"83"	"29"	"22"	"5"	"20"	"5"	"2"	"2"	"62"	"2"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"8"	"9"	"0"	"272"	"272"	"1"	"0"
