"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"UNE"	"VAMOS"	"TODOS"	"CCM"	"VICTORIA"	"PHG"	"UNIONISTA"	"SEMILLA"	"CREO"	"PC"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"7385"	"4"	"6"	"2"	"2"	"376"	"16"	"50"	"4"	"8"	"93"	"11"	"2"	"78"	"5"	"3"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"275"	"26"	"2"	"0"	"303"	"303"	"1"	"0"
"7386"	"4"	"6"	"2"	"2"	"375"	"13"	"53"	"2"	"7"	"86"	"7"	"2"	"69"	"5"	"8"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"27"	"1"	"0"	"285"	"285"	"1"	"0"
"7387"	"4"	"6"	"2"	"2"	"374"	"12"	"50"	"1"	"9"	"97"	"12"	"3"	"41"	"2"	"8"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"27"	"4"	"0"	"271"	"271"	"1"	"0"
"7388"	"4"	"6"	"2"	"2"	"376"	"12"	"34"	"0"	"5"	"91"	"11"	"1"	"51"	"7"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"29"	"4"	"0"	"251"	"251"	"1"	"0"
"7389"	"4"	"6"	"2"	"2"	"376"	"12"	"40"	"2"	"10"	"95"	"12"	"2"	"54"	"7"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"22"	"5"	"0"	"266"	"266"	"1"	"0"
"7390"	"4"	"6"	"2"	"2"	"380"	"14"	"34"	"7"	"11"	"86"	"8"	"0"	"57"	"4"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"23"	"6"	"0"	"255"	"255"	"1"	"0"
"7391"	"4"	"6"	"2"	"2"	"380"	"17"	"29"	"2"	"4"	"73"	"18"	"3"	"58"	"2"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"213"	"213"	"17"	"5"	"0"	"235"	"235"	"1"	"0"
"7392"	"4"	"6"	"2"	"2"	"380"	"13"	"31"	"2"	"5"	"96"	"19"	"0"	"51"	"3"	"5"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"18"	"8"	"0"	"255"	"255"	"1"	"0"
"7393"	"4"	"6"	"2"	"2"	"372"	"17"	"28"	"0"	"6"	"76"	"11"	"5"	"56"	"1"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"205"	"205"	"15"	"3"	"0"	"223"	"223"	"1"	"0"
"7394"	"4"	"6"	"2"	"2"	"380"	"16"	"25"	"0"	"7"	"84"	"17"	"1"	"54"	"2"	"6"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"17"	"1"	"0"	"236"	"236"	"1"	"1"
