"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"CREO"	"PPT"	"VALOR"	"UCN"	"TODOS"	"PC"	"VAMOS"	"SEMILLA"	"CONVERGENCIA"	"FCN_NACION"	"LIBRE"	"FUERZA"	"PODEMOS"	"VICTORIA"	"VIVA"	"PHG"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"6566"	"4"	"5"	"2"	"2"	"376"	"56"	"56"	"66"	"3"	"6"	"1"	"2"	"3"	"1"	"0"	"3"	"4"	"0"	"2"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"206"	"206"	"37"	"20"	"0"	"376"	"263"	"0"	"0"
"6567"	"4"	"5"	"2"	"2"	"340"	"39"	"45"	"58"	"0"	"2"	"0"	"1"	"1"	"1"	"1"	"5"	"4"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"159"	"159"	"23"	"9"	"0"	"191"	"191"	"1"	"0"
"6568"	"4"	"5"	"2"	"2"	"339"	"37"	"53"	"96"	"2"	"4"	"0"	"0"	"3"	"1"	"0"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"203"	"203"	"11"	"8"	"0"	"222"	"222"	"1"	"0"
"6569"	"4"	"5"	"2"	"2"	"0"	"113"	"8"	"97"	"5"	"11"	"7"	"0"	"3"	"10"	"3"	"3"	"1"	"6"	"2"	"0"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"276"	"276"	"21"	"7"	"0"	"304"	"304"	"1"	"0"
"6570"	"4"	"5"	"2"	"2"	"376"	"121"	"6"	"99"	"0"	"13"	"4"	"4"	"7"	"11"	"1"	"3"	"1"	"1"	"1"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"276"	"276"	"24"	"4"	"0"	"304"	"304"	"1"	"0"
"6571"	"4"	"5"	"2"	"2"	"376"	"108"	"3"	"111"	"2"	"8"	"7"	"3"	"5"	"23"	"0"	"2"	"1"	"1"	"4"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"15"	"6"	"0"	"302"	"302"	"1"	"0"
"6572"	"4"	"5"	"2"	"2"	"0"	"120"	"5"	"89"	"2"	"7"	"5"	"5"	"6"	"12"	"1"	"5"	"2"	"2"	"3"	"1"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"18"	"11"	"0"	"299"	"299"	"1"	"0"
"6573"	"4"	"5"	"2"	"2"	"391"	"124"	"9"	"108"	"3"	"2"	"8"	"2"	"6"	"7"	"0"	"0"	"3"	"3"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"287"	"277"	"22"	"6"	"0"	"287"	"305"	"0"	"0"
"6574"	"4"	"5"	"2"	"2"	"377"	"122"	"5"	"99"	"4"	"6"	"6"	"1"	"2"	"16"	"0"	"0"	"2"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"271"	"10"	"4"	"0"	"285"	"285"	"1"	"0"
"6575"	"4"	"5"	"2"	"2"	"376"	"123"	"5"	"86"	"2"	"7"	"0"	"2"	"1"	"20"	"0"	"5"	"2"	"0"	"2"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"12"	"4"	"0"	"274"	"274"	"1"	"0"
"6576"	"4"	"5"	"2"	"2"	"0"	"104"	"2"	"66"	"4"	"2"	"1"	"4"	"2"	"11"	"1"	"5"	"4"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"210"	"210"	"63"	"8"	"0"	"281"	"281"	"1"	"0"
"6577"	"4"	"5"	"2"	"2"	"376"	"113"	"3"	"89"	"6"	"6"	"5"	"3"	"4"	"12"	"0"	"4"	"1"	"1"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"17"	"7"	"0"	"276"	"276"	"1"	"0"
"6578"	"4"	"5"	"2"	"2"	"376"	"129"	"6"	"87"	"5"	"6"	"3"	"2"	"7"	"7"	"0"	"0"	"2"	"1"	"0"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"25"	"6"	"0"	"290"	"290"	"1"	"0"
"6579"	"4"	"5"	"2"	"2"	"376"	"111"	"5"	"96"	"0"	"8"	"2"	"2"	"4"	"11"	"1"	"2"	"3"	"2"	"1"	"2"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"22"	"5"	"0"	"280"	"280"	"1"	"0"
"6580"	"4"	"5"	"2"	"2"	"380"	"114"	"9"	"88"	"3"	"7"	"1"	"0"	"1"	"11"	"2"	"3"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"24"	"3"	"0"	"269"	"269"	"1"	"0"
"6581"	"4"	"5"	"2"	"2"	"275"	"77"	"4"	"84"	"3"	"4"	"4"	"3"	"2"	"9"	"2"	"5"	"0"	"1"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"202"	"202"	"0"	"0"	"0"	"202"	"202"	"1"	"0"
"6582"	"4"	"5"	"2"	"2"	"275"	"90"	"2"	"82"	"3"	"2"	"5"	"1"	"3"	"11"	"0"	"4"	"2"	"0"	"1"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"7"	"0"	"0"	"215"	"215"	"1"	"0"
"6583"	"4"	"5"	"2"	"2"	"600"	"75"	"19"	"70"	"9"	"9"	"2"	"7"	"3"	"40"	"1"	"3"	"3"	"2"	"4"	"2"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"18"	"7"	"0"	"277"	"277"	"1"	"0"
"6584"	"4"	"5"	"2"	"2"	"557"	"53"	"25"	"83"	"12"	"24"	"5"	"5"	"9"	"53"	"4"	"6"	"4"	"0"	"2"	"2"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"294"	"294"	"11"	"2"	"0"	"307"	"307"	"1"	"0"
