"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"TODOS"	"CREO"	"UNIONISTA"	"EG"	"WINAQ"	"UNE"	"VALOR"	"UCN"	"URNG_MAIZ"	"PHG"	"PODEMOS"	"MLP"	"VIVA"	"PC"	"BIEN"	"UNIDOS"	"PAN"	"FCN_NACION"	"FUERZA"	"PPT"	"SEMILLA"	"VICTORIA"	"LIBRE"	"AVANZA"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"10895"	"3"	"10"	"20"	"2"	"400"	"4"	"19"	"2"	"5"	"4"	"0"	"88"	"2"	"14"	"2"	"6"	"5"	"2"	"1"	"4"	"6"	"0"	"6"	"47"	"9"	"1"	"3"	"3"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"26"	"37"	"0"	"298"	"298"	"1"	"0"
"10896"	"3"	"10"	"20"	"2"	"400"	"6"	"17"	"1"	"1"	"6"	"3"	"74"	"2"	"16"	"2"	"5"	"4"	"4"	"4"	"3"	"6"	"1"	"7"	"46"	"18"	"0"	"7"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"27"	"24"	"0"	"289"	"289"	"1"	"0"
"10897"	"3"	"10"	"20"	"2"	"400"	"8"	"33"	"1"	"3"	"3"	"4"	"75"	"1"	"18"	"2"	"9"	"4"	"2"	"2"	"8"	"2"	"0"	"11"	"36"	"13"	"0"	"1"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"21"	"25"	"0"	"287"	"287"	"1"	"0"
"10898"	"3"	"10"	"20"	"2"	"400"	"3"	"26"	"2"	"1"	"3"	"1"	"95"	"3"	"19"	"0"	"9"	"5"	"6"	"7"	"3"	"8"	"1"	"5"	"53"	"5"	"0"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"24"	"24"	"0"	"307"	"307"	"1"	"0"
"10899"	"3"	"10"	"20"	"2"	"400"	"4"	"32"	"1"	"3"	"3"	"3"	"94"	"1"	"15"	"0"	"6"	"4"	"5"	"4"	"2"	"11"	"0"	"4"	"52"	"13"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"20"	"35"	"0"	"316"	"316"	"1"	"0"
"10900"	"3"	"10"	"20"	"2"	"400"	"4"	"22"	"2"	"0"	"4"	"0"	"90"	"1"	"22"	"4"	"2"	"7"	"3"	"1"	"4"	"1"	"1"	"10"	"58"	"13"	"0"	"4"	"2"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"28"	"29"	"0"	"315"	"315"	"1"	"0"
"10901"	"3"	"10"	"20"	"2"	"400"	"3"	"26"	"1"	"4"	"2"	"0"	"75"	"0"	"21"	"2"	"6"	"9"	"0"	"3"	"4"	"3"	"1"	"4"	"60"	"14"	"1"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"24"	"39"	"0"	"308"	"308"	"1"	"0"
"10902"	"3"	"10"	"20"	"2"	"400"	"8"	"18"	"0"	"5"	"2"	"5"	"99"	"2"	"17"	"1"	"7"	"4"	"3"	"3"	"5"	"3"	"2"	"3"	"41"	"14"	"0"	"8"	"6"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"10"	"20"	"0"	"289"	"289"	"1"	"0"
"10903"	"3"	"10"	"20"	"2"	"400"	"3"	"17"	"3"	"0"	"4"	"1"	"83"	"2"	"11"	"4"	"5"	"4"	"6"	"5"	"5"	"7"	"0"	"8"	"39"	"10"	"1"	"4"	"2"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"21"	"21"	"0"	"268"	"268"	"1"	"0"
"10904"	"3"	"10"	"20"	"2"	"400"	"4"	"28"	"6"	"2"	"2"	"4"	"71"	"1"	"17"	"4"	"6"	"4"	"1"	"5"	"5"	"4"	"1"	"5"	"40"	"11"	"1"	"3"	"2"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"12"	"15"	"0"	"259"	"259"	"1"	"0"
"10905"	"3"	"10"	"20"	"2"	"400"	"7"	"30"	"5"	"1"	"6"	"1"	"81"	"0"	"15"	"1"	"6"	"3"	"4"	"6"	"2"	"5"	"0"	"4"	"40"	"9"	"1"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"11"	"22"	"0"	"264"	"264"	"1"	"0"
"10906"	"3"	"10"	"20"	"2"	"400"	"10"	"23"	"7"	"4"	"4"	"0"	"76"	"2"	"13"	"4"	"7"	"3"	"6"	"5"	"3"	"4"	"0"	"4"	"43"	"12"	"1"	"4"	"6"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"17"	"21"	"0"	"281"	"281"	"1"	"0"
"10907"	"3"	"10"	"20"	"2"	"400"	"5"	"21"	"1"	"3"	"4"	"0"	"87"	"1"	"23"	"4"	"5"	"3"	"2"	"7"	"3"	"2"	"0"	"3"	"47"	"8"	"2"	"1"	"2"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"12"	"29"	"0"	"277"	"277"	"1"	"0"
"10908"	"3"	"10"	"20"	"2"	"400"	"3"	"17"	"3"	"4"	"2"	"1"	"80"	"1"	"16"	"2"	"9"	"2"	"3"	"2"	"4"	"5"	"0"	"9"	"44"	"9"	"0"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"16"	"12"	"0"	"250"	"250"	"1"	"0"
"10909"	"3"	"10"	"20"	"2"	"400"	"3"	"11"	"6"	"5"	"3"	"1"	"71"	"2"	"13"	"2"	"17"	"1"	"2"	"4"	"5"	"2"	"1"	"8"	"52"	"17"	"0"	"10"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"12"	"22"	"0"	"277"	"277"	"1"	"0"
