"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"FUERZA"	"TODOS"	"VIVA"	"CREO"	"PHG"	"BIEN"	"VICTORIA"	"VALOR"	"PC"	"FCN_NACION"	"UNE"	"SEMILLA"	"PPT"	"PAN"	"AVANZA"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"3584"	"4"	"1"	"13"	"2"	"379"	"23"	"10"	"10"	"26"	"40"	"21"	"8"	"3"	"27"	"7"	"14"	"16"	"33"	"1"	"4"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"15"	"3"	"0"	"266"	"266"	"1"	"0"
"3585"	"4"	"1"	"13"	"2"	"380"	"19"	"9"	"15"	"14"	"33"	"35"	"14"	"4"	"36"	"7"	"15"	"15"	"19"	"0"	"4"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"13"	"4"	"0"	"270"	"270"	"1"	"0"
"3586"	"4"	"1"	"13"	"2"	"381"	"22"	"13"	"25"	"10"	"55"	"26"	"13"	"3"	"37"	"24"	"19"	"14"	"20"	"1"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"289"	"289"	"19"	"3"	"1"	"289"	"311"	"0"	"0"
"3587"	"4"	"1"	"13"	"2"	"380"	"23"	"11"	"35"	"28"	"46"	"31"	"16"	"3"	"31"	"0"	"6"	"9"	"35"	"0"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"280"	"280"	"30"	"2"	"0"	"312"	"312"	"1"	"0"
"3588"	"4"	"1"	"13"	"2"	"385"	"20"	"9"	"19"	"17"	"61"	"29"	"12"	"4"	"36"	"0"	"8"	"9"	"30"	"2"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"24"	"2"	"0"	"289"	"288"	"0"	"1"
"3589"	"4"	"1"	"13"	"2"	"360"	"11"	"20"	"18"	"17"	"51"	"23"	"5"	"2"	"27"	"3"	"12"	"17"	"21"	"0"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"16"	"6"	"1"	"257"	"257"	"1"	"0"
"3590"	"4"	"1"	"13"	"2"	"357"	"11"	"11"	"14"	"20"	"40"	"24"	"15"	"3"	"22"	"0"	"12"	"17"	"29"	"0"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"22"	"5"	"1"	"251"	"251"	"1"	"0"
"3591"	"4"	"1"	"13"	"2"	"380"	"16"	"8"	"20"	"14"	"54"	"22"	"17"	"4"	"32"	"1"	"20"	"6"	"46"	"0"	"6"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"16"	"2"	"0"	"268"	"286"	"0"	"0"
"3592"	"4"	"1"	"13"	"2"	"324"	"14"	"8"	"28"	"17"	"76"	"20"	"12"	"3"	"36"	"1"	"7"	"4"	"30"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"11"	"4"	"2"	"275"	"275"	"1"	"0"
"3593"	"4"	"1"	"13"	"2"	"324"	"18"	"13"	"15"	"8"	"36"	"34"	"14"	"0"	"32"	"3"	"10"	"13"	"27"	"1"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"12"	"0"	"0"	"243"	"243"	"1"	"0"
"3594"	"4"	"1"	"13"	"2"	"552"	"23"	"8"	"2"	"13"	"24"	"65"	"21"	"6"	"15"	"1"	"15"	"56"	"14"	"1"	"6"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"280"	"280"	"8"	"3"	"0"	"291"	"291"	"1"	"0"
"3595"	"4"	"1"	"13"	"2"	"551"	"23"	"2"	"5"	"12"	"21"	"48"	"21"	"2"	"6"	"5"	"7"	"33"	"15"	"0"	"5"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"8"	"2"	"0"	"227"	"227"	"1"	"0"
