"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"URNG_MAIZ"	"TODOS"	"PODEMOS"	"FUERZA"	"PHG"	"FCN_NACION"	"UNE"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"8481"	"4"	"7"	"19"	"2"	"400"	"118"	"1"	"87"	"82"	"8"	"19"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"320"	"320"	"4"	"0"	"0"	"324"	"324"	"1"	"0"
"8482"	"4"	"7"	"19"	"2"	"401"	"142"	"4"	"52"	"100"	"3"	"30"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"333"	"333"	"0"	"1"	"0"	"334"	"334"	"1"	"0"
"8483"	"4"	"7"	"19"	"2"	"400"	"150"	"2"	"88"	"91"	"1"	"11"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"351"	"351"	"0"	"2"	"0"	"354"	"353"	"0"	"1"
"8484"	"4"	"7"	"19"	"2"	"400"	"151"	"1"	"74"	"104"	"3"	"23"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"360"	"360"	"2"	"1"	"0"	"363"	"363"	"1"	"0"
"8485"	"4"	"7"	"19"	"2"	"253"	"83"	"2"	"38"	"59"	"5"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"3"	"2"	"0"	"213"	"213"	"1"	"0"
"8486"	"4"	"7"	"19"	"2"	"253"	"77"	"2"	"36"	"74"	"5"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"6"	"1"	"0"	"207"	"207"	"1"	"0"
"8487"	"4"	"7"	"19"	"2"	"380"	"28"	"1"	"30"	"14"	"159"	"43"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"276"	"276"	"14"	"8"	"0"	"298"	"298"	"1"	"0"
"8488"	"4"	"7"	"19"	"2"	"376"	"23"	"1"	"35"	"28"	"163"	"40"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"296"	"296"	"20"	"5"	"0"	"321"	"321"	"1"	"0"
"8489"	"4"	"7"	"19"	"2"	"380"	"40"	"2"	"25"	"25"	"166"	"39"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"302"	"302"	"23"	"7"	"0"	"332"	"332"	"1"	"1"
"8490"	"4"	"7"	"19"	"2"	"376"	"31"	"0"	"32"	"48"	"136"	"48"	"8"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"308"	"308"	"20"	"6"	"0"	"334"	"334"	"1"	"0"
"8491"	"4"	"7"	"19"	"2"	"380"	"36"	"2"	"23"	"26"	"164"	"45"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"300"	"300"	"10"	"5"	"0"	"315"	"315"	"1"	"0"
"8492"	"4"	"7"	"19"	"2"	"380"	"40"	"1"	"44"	"34"	"163"	"36"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"321"	"321"	"4"	"3"	"0"	"328"	"328"	"1"	"0"
"8493"	"4"	"7"	"19"	"2"	"381"	"30"	"2"	"24"	"31"	"158"	"38"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"287"	"287"	"11"	"4"	"0"	"302"	"302"	"1"	"0"
"8494"	"4"	"7"	"19"	"2"	"380"	"24"	"0"	"26"	"39"	"137"	"40"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"19"	"7"	"0"	"296"	"296"	"1"	"0"
"8495"	"4"	"7"	"19"	"2"	"200"	"19"	"1"	"9"	"13"	"96"	"33"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"172"	"172"	"1"	"0"	"0"	"173"	"173"	"1"	"0"
"8496"	"4"	"7"	"19"	"2"	"203"	"18"	"0"	"22"	"15"	"91"	"25"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"173"	"173"	"2"	"2"	"0"	"177"	"177"	"1"	"0"
"8497"	"4"	"7"	"19"	"2"	"600"	"178"	"2"	"73"	"59"	"23"	"23"	"8"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"368"	"368"	"4"	"6"	"0"	"378"	"378"	"1"	"0"
"8498"	"4"	"7"	"19"	"2"	"595"	"189"	"4"	"67"	"56"	"11"	"23"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"356"	"356"	"7"	"8"	"0"	"371"	"371"	"1"	"1"
"8499"	"4"	"7"	"19"	"2"	"595"	"180"	"5"	"51"	"43"	"10"	"22"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"316"	"316"	"10"	"9"	"0"	"335"	"335"	"1"	"0"
