"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"VALOR"	"FCN_NACION"	"WINAQ"	"TODOS"	"CREO"	"VICTORIA"	"BIEN"	"UCN"	"URNG_MAIZ"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"16707"	"4"	"16"	"8"	"2"	"396"	"34"	"137"	"72"	"0"	"0"	"2"	"32"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"21"	"2"	"0"	"304"	"304"	"1"	"0"
"16708"	"4"	"16"	"8"	"2"	"400"	"73"	"122"	"53"	"0"	"0"	"0"	"38"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"289"	"289"	"11"	"4"	"0"	"304"	"304"	"1"	"0"
"16709"	"4"	"16"	"8"	"2"	"396"	"39"	"154"	"82"	"1"	"1"	"0"	"45"	"0"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"326"	"326"	"10"	"4"	"0"	"340"	"340"	"1"	"0"
"16710"	"4"	"16"	"8"	"2"	"393"	"53"	"122"	"67"	"3"	"0"	"2"	"36"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"288"	"288"	"12"	"2"	"0"	"302"	"302"	"1"	"1"
"16711"	"4"	"16"	"8"	"2"	"396"	"26"	"88"	"50"	"1"	"0"	"0"	"52"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"219"	"23"	"2"	"0"	"244"	"244"	"1"	"0"
"16712"	"4"	"16"	"8"	"2"	"396"	"45"	"106"	"94"	"0"	"4"	"0"	"41"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"292"	"292"	"23"	"6"	"0"	"321"	"321"	"1"	"0"
"16713"	"4"	"16"	"8"	"2"	"400"	"20"	"187"	"63"	"0"	"1"	"0"	"28"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"300"	"300"	"16"	"5"	"0"	"321"	"321"	"1"	"1"
"16714"	"4"	"16"	"8"	"2"	"400"	"52"	"97"	"74"	"0"	"0"	"1"	"25"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"26"	"1"	"0"	"281"	"281"	"1"	"2"
"16715"	"4"	"16"	"8"	"2"	"400"	"36"	"98"	"77"	"0"	"0"	"1"	"30"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"14"	"2"	"0"	"260"	"260"	"1"	"0"
"16716"	"4"	"16"	"8"	"2"	"396"	"47"	"118"	"66"	"0"	"0"	"2"	"38"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"10"	"1"	"0"	"283"	"283"	"1"	"0"
"16717"	"4"	"16"	"8"	"2"	"400"	"35"	"112"	"62"	"0"	"0"	"2"	"34"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"21"	"2"	"0"	"269"	"269"	"1"	"0"
"16718"	"4"	"16"	"8"	"2"	"396"	"37"	"90"	"72"	"2"	"2"	"0"	"31"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"12"	"4"	"0"	"252"	"252"	"1"	"0"
"16719"	"4"	"16"	"8"	"2"	"399"	"45"	"101"	"45"	"1"	"0"	"2"	"32"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"14"	"2"	"0"	"245"	"245"	"1"	"0"
"16720"	"4"	"16"	"8"	"2"	"396"	"57"	"103"	"73"	"2"	"0"	"1"	"34"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"5"	"3"	"0"	"280"	"280"	"1"	"1"
"16721"	"4"	"16"	"8"	"2"	"310"	"35"	"81"	"54"	"0"	"0"	"1"	"30"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"203"	"203"	"3"	"0"	"0"	"206"	"206"	"1"	"0"
"16722"	"4"	"16"	"8"	"2"	"311"	"37"	"71"	"40"	"1"	"1"	"2"	"32"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"185"	"185"	"14"	"2"	"0"	"201"	"201"	"1"	"0"
"16723"	"4"	"16"	"8"	"2"	"371"	"68"	"76"	"84"	"1"	"1"	"3"	"11"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"246"	"10"	"5"	"0"	"262"	"261"	"0"	"0"
"16724"	"4"	"16"	"8"	"2"	"380"	"68"	"64"	"72"	"0"	"1"	"4"	"20"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"15"	"0"	"0"	"245"	"245"	"1"	"0"
"16725"	"4"	"16"	"8"	"2"	"378"	"65"	"64"	"90"	"0"	"1"	"3"	"17"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"11"	"1"	"0"	"254"	"254"	"1"	"0"
