"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"CREO"	"UNE"	"UCN"	"URNG_MAIZ"	"CONVERGENCIA"	"PHG"	"UNIONISTA"	"VAMOS"	"FUERZA"	"LIBRE"	"VICTORIA"	"SEMILLA"	"TODOS"	"EG"	"VALOR"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"12329"	"4"	"12"	"15"	"2"	"242"	"21"	"15"	"2"	"2"	"8"	"20"	"5"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"77"	"77"	"9"	"3"	"0"	"89"	"89"	"1"	"0"
"12330"	"4"	"12"	"15"	"2"	"378"	"42"	"41"	"9"	"4"	"13"	"53"	"6"	"3"	"2"	"1"	"3"	"4"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"184"	"184"	"28"	"1"	"0"	"213"	"213"	"1"	"0"
"12331"	"4"	"12"	"15"	"2"	"380"	"51"	"42"	"4"	"8"	"11"	"88"	"10"	"1"	"2"	"0"	"2"	"5"	"6"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"15"	"8"	"0"	"254"	"254"	"1"	"1"
"12332"	"4"	"12"	"15"	"2"	"378"	"58"	"49"	"2"	"5"	"10"	"71"	"6"	"4"	"4"	"1"	"3"	"3"	"6"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"12"	"9"	"0"	"244"	"244"	"1"	"0"
"12333"	"4"	"12"	"15"	"2"	"374"	"48"	"61"	"3"	"4"	"9"	"52"	"7"	"1"	"1"	"1"	"5"	"3"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"198"	"198"	"18"	"11"	"0"	"227"	"227"	"1"	"0"
"12334"	"4"	"12"	"15"	"2"	"0"	"44"	"30"	"3"	"4"	"27"	"59"	"2"	"2"	"6"	"1"	"3"	"1"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"186"	"186"	"24"	"5"	"0"	"215"	"215"	"1"	"0"
"12335"	"4"	"12"	"15"	"2"	"376"	"29"	"44"	"4"	"1"	"28"	"39"	"5"	"2"	"0"	"1"	"4"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"161"	"161"	"9"	"4"	"0"	"174"	"174"	"1"	"0"
"12336"	"4"	"12"	"15"	"2"	"380"	"46"	"30"	"1"	"2"	"10"	"49"	"2"	"2"	"2"	"1"	"0"	"6"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"155"	"155"	"16"	"1"	"0"	"172"	"172"	"1"	"0"
"12337"	"4"	"12"	"15"	"2"	"380"	"48"	"42"	"1"	"2"	"13"	"56"	"3"	"3"	"0"	"1"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"176"	"176"	"17"	"5"	"0"	"198"	"198"	"1"	"0"
"12338"	"4"	"12"	"15"	"2"	"378"	"50"	"37"	"3"	"8"	"12"	"55"	"3"	"1"	"3"	"1"	"1"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"181"	"181"	"17"	"6"	"0"	"204"	"204"	"1"	"0"
