"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"VAMOS"	"PODEMOS"	"FUERZA"	"UCN"	"MLP"	"SEMILLA"	"CREO"	"BIEN"	"LIBRE"	"UNIONISTA"	"PC"	"PHG"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"7182"	"4"	"5"	"13"	"2"	"394"	"86"	"14"	"54"	"28"	"2"	"1"	"0"	"5"	"4"	"11"	"0"	"57"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"57"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"9"	"3"	"0"	"278"	"278"	"1"	"0"
"7183"	"4"	"5"	"13"	"2"	"396"	"65"	"14"	"28"	"26"	"1"	"0"	"0"	"7"	"7"	"11"	"1"	"44"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"44"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"206"	"206"	"27"	"8"	"0"	"241"	"241"	"1"	"0"
"7184"	"4"	"5"	"13"	"2"	"305"	"62"	"9"	"35"	"19"	"3"	"3"	"0"	"5"	"5"	"6"	"1"	"42"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"191"	"191"	"16"	"2"	"0"	"209"	"209"	"1"	"0"
"7185"	"4"	"5"	"13"	"2"	"303"	"47"	"4"	"35"	"22"	"2"	"2"	"0"	"4"	"5"	"12"	"0"	"48"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"48"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"184"	"184"	"17"	"2"	"0"	"203"	"203"	"1"	"0"
"7186"	"4"	"5"	"13"	"2"	"374"	"74"	"6"	"22"	"66"	"1"	"1"	"2"	"2"	"0"	"11"	"0"	"24"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"6"	"7"	"0"	"227"	"227"	"1"	"0"
"7187"	"4"	"5"	"13"	"2"	"373"	"90"	"4"	"10"	"80"	"4"	"1"	"0"	"1"	"2"	"9"	"4"	"18"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"14"	"2"	"0"	"240"	"240"	"1"	"0"
"7188"	"4"	"5"	"13"	"2"	"374"	"88"	"6"	"12"	"69"	"0"	"0"	"1"	"2"	"7"	"3"	"1"	"15"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"24"	"5"	"0"	"237"	"237"	"1"	"0"
"7189"	"4"	"5"	"13"	"2"	"373"	"70"	"5"	"9"	"74"	"0"	"1"	"1"	"5"	"5"	"2"	"1"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"195"	"195"	"9"	"2"	"0"	"206"	"206"	"1"	"0"
"7190"	"4"	"5"	"13"	"2"	"374"	"81"	"2"	"9"	"81"	"1"	"2"	"0"	"2"	"3"	"5"	"0"	"13"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"204"	"204"	"11"	"9"	"0"	"224"	"224"	"1"	"0"
"7191"	"4"	"5"	"13"	"2"	"374"	"73"	"8"	"9"	"59"	"1"	"1"	"0"	"2"	"1"	"9"	"1"	"17"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"184"	"184"	"15"	"8"	"0"	"207"	"207"	"1"	"0"
