"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"VIVA"	"CONVERGENCIA"	"UCN"	"EG"	"SEMILLA"	"UNE"	"FCN_NACION"	"CREO"	"FUERZA"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"2459"	"4"	"1"	"7"	"1"	"376"	"28"	"5"	"2"	"20"	"21"	"3"	"64"	"13"	"27"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"188"	"188"	"8"	"1"	"0"	"197"	"197"	"1"	"0"
"2460"	"4"	"1"	"7"	"1"	"377"	"28"	"2"	"2"	"13"	"31"	"5"	"82"	"13"	"23"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"204"	"204"	"8"	"2"	"0"	"214"	"214"	"1"	"0"
"2461"	"4"	"1"	"7"	"1"	"380"	"31"	"1"	"4"	"18"	"23"	"5"	"67"	"8"	"30"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"194"	"194"	"6"	"1"	"0"	"201"	"201"	"1"	"0"
"2462"	"4"	"1"	"7"	"1"	"380"	"30"	"5"	"3"	"21"	"28"	"4"	"86"	"9"	"17"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"205"	"205"	"11"	"1"	"0"	"205"	"217"	"0"	"0"
"2463"	"4"	"1"	"7"	"1"	"376"	"21"	"3"	"3"	"9"	"23"	"7"	"64"	"6"	"26"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"169"	"169"	"7"	"5"	"0"	"181"	"181"	"1"	"0"
"2464"	"4"	"1"	"7"	"1"	"380"	"16"	"3"	"5"	"19"	"23"	"3"	"82"	"16"	"35"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"206"	"206"	"4"	"0"	"0"	"210"	"210"	"1"	"0"
"2465"	"4"	"1"	"7"	"1"	"380"	"31"	"7"	"3"	"21"	"26"	"8"	"68"	"8"	"32"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"206"	"206"	"2"	"0"	"1"	"208"	"208"	"1"	"0"
"2466"	"4"	"1"	"7"	"1"	"377"	"35"	"5"	"2"	"17"	"24"	"4"	"69"	"13"	"30"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"202"	"202"	"6"	"2"	"2"	"210"	"210"	"1"	"0"
"2467"	"4"	"1"	"7"	"1"	"376"	"28"	"9"	"1"	"12"	"26"	"9"	"52"	"13"	"35"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"191"	"191"	"4"	"0"	"0"	"195"	"195"	"1"	"0"
"2468"	"4"	"1"	"7"	"1"	"380"	"24"	"10"	"3"	"22"	"21"	"5"	"48"	"18"	"41"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"201"	"201"	"2"	"3"	"0"	"206"	"206"	"1"	"0"
