"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"TODOS"	"VICTORIA"	"UNE"	"FCN_NACION"	"VIVA"	"CONVERGENCIA"	"CREO"	"WINAQ"	"UNIONISTA"	"FUERZA"	"LIBRE"	"PPT"	"PHG"	"BIEN"	"UCN"	"MLP"	"PC"	"VALOR"	"SEMILLA"	"EG"	"UNIDOS"	"PAN"	"URNG_MAIZ"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"11486"	"3"	"12"	"1"	"2"	"400"	"25"	"4"	"3"	"5"	"11"	"7"	"2"	"9"	"37"	"12"	"7"	"17"	"2"	"26"	"8"	"3"	"7"	"5"	"7"	"25"	"16"	"1"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"48"	"5"	"0"	"297"	"297"	"1"	"0"
"11487"	"3"	"12"	"1"	"2"	"400"	"25"	"10"	"2"	"9"	"10"	"13"	"5"	"16"	"26"	"9"	"6"	"23"	"2"	"15"	"5"	"2"	"6"	"2"	"6"	"18"	"17"	"7"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"49"	"8"	"0"	"297"	"297"	"1"	"0"
"11488"	"3"	"12"	"1"	"2"	"400"	"24"	"6"	"4"	"9"	"11"	"12"	"7"	"17"	"25"	"16"	"6"	"14"	"2"	"13"	"2"	"3"	"7"	"4"	"10"	"32"	"10"	"4"	"6"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"48"	"6"	"0"	"304"	"304"	"1"	"0"
"11489"	"3"	"12"	"1"	"2"	"323"	"15"	"11"	"1"	"8"	"10"	"13"	"1"	"15"	"29"	"3"	"4"	"15"	"2"	"2"	"2"	"3"	"3"	"4"	"6"	"16"	"16"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"182"	"182"	"39"	"5"	"0"	"226"	"226"	"1"	"0"
"11490"	"3"	"12"	"1"	"2"	"323"	"13"	"16"	"1"	"6"	"7"	"13"	"1"	"6"	"33"	"8"	"4"	"15"	"0"	"12"	"1"	"1"	"6"	"3"	"9"	"20"	"13"	"1"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"194"	"194"	"37"	"2"	"0"	"233"	"233"	"1"	"0"
"11491"	"3"	"12"	"1"	"2"	"400"	"21"	"14"	"4"	"14"	"17"	"9"	"7"	"11"	"14"	"2"	"6"	"25"	"4"	"13"	"7"	"0"	"10"	"7"	"6"	"30"	"9"	"3"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"54"	"10"	"0"	"305"	"305"	"1"	"0"
"11492"	"3"	"12"	"1"	"2"	"0"	"30"	"7"	"4"	"12"	"8"	"11"	"5"	"16"	"21"	"0"	"14"	"22"	"5"	"11"	"5"	"3"	"5"	"2"	"7"	"30"	"11"	"5"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"64"	"15"	"0"	"318"	"318"	"1"	"0"
"11493"	"3"	"12"	"1"	"2"	"400"	"21"	"7"	"2"	"12"	"14"	"0"	"4"	"5"	"25"	"14"	"8"	"20"	"2"	"14"	"7"	"5"	"5"	"5"	"5"	"35"	"14"	"1"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"59"	"12"	"0"	"301"	"301"	"1"	"0"
"11494"	"3"	"12"	"1"	"2"	"400"	"25"	"10"	"1"	"15"	"14"	"15"	"7"	"4"	"26"	"5"	"6"	"11"	"2"	"11"	"2"	"1"	"6"	"1"	"5"	"43"	"12"	"2"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"35"	"14"	"13"	"281"	"281"	"1"	"0"
"11495"	"3"	"12"	"1"	"2"	"0"	"11"	"6"	"3"	"7"	"15"	"13"	"5"	"10"	"23"	"4"	"3"	"9"	"4"	"6"	"1"	"3"	"5"	"3"	"8"	"38"	"12"	"1"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"197"	"197"	"95"	"11"	"0"	"303"	"303"	"1"	"0"
"11496"	"3"	"12"	"1"	"2"	"314"	"21"	"17"	"1"	"7"	"14"	"8"	"6"	"12"	"14"	"8"	"5"	"14"	"0"	"5"	"6"	"1"	"3"	"1"	"7"	"21"	"11"	"1"	"5"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"192"	"192"	"27"	"6"	"0"	"225"	"225"	"1"	"0"
"11497"	"3"	"12"	"1"	"2"	"314"	"5"	"9"	"1"	"9"	"9"	"8"	"2"	"10"	"28"	"2"	"9"	"15"	"1"	"9"	"6"	"4"	"10"	"1"	"9"	"35"	"8"	"1"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"202"	"197"	"31"	"10"	"0"	"243"	"238"	"0"	"0"
"11498"	"3"	"12"	"1"	"2"	"0"	"7"	"5"	"1"	"9"	"5"	"5"	"4"	"3"	"9"	"2"	"4"	"4"	"1"	"2"	"4"	"2"	"6"	"0"	"5"	"8"	"9"	"1"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"102"	"102"	"21"	"23"	"0"	"146"	"146"	"1"	"0"
