"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"CREO"	"WINAQ"	"FUERZA"	"VAMOS"	"VALOR"	"PPT"	"PC"	"TODOS"	"PHG"	"FDA"	"VIVA"	"URNG_MAIZ"	"PODEMOS"	"PAN"	"UNIONISTA"	"SEMILLA"	"BIEN"	"UCN"	"FCN_NACION"	"LIBRE"	"UNE"	"AVANZA"	"UNIDOS"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"9183"	"4"	"9"	"1"	"2"	"403"	"18"	"4"	"23"	"9"	"27"	"2"	"9"	"0"	"54"	"14"	"15"	"4"	"11"	"9"	"2"	"3"	"7"	"13"	"2"	"5"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"8"	"4"	"157"	"246"	"246"	"1"	"0"
"9184"	"4"	"9"	"1"	"2"	"400"	"11"	"12"	"22"	"13"	"23"	"3"	"21"	"0"	"58"	"4"	"20"	"3"	"13"	"9"	"3"	"13"	"11"	"14"	"0"	"10"	"1"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"7"	"3"	"0"	"278"	"278"	"1"	"0"
"9185"	"4"	"9"	"1"	"2"	"400"	"16"	"7"	"29"	"9"	"21"	"0"	"16"	"2"	"48"	"5"	"13"	"5"	"7"	"6"	"3"	"9"	"7"	"13"	"4"	"3"	"2"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"9"	"2"	"0"	"244"	"244"	"1"	"0"
"9186"	"4"	"9"	"1"	"2"	"398"	"19"	"13"	"35"	"16"	"18"	"1"	"18"	"1"	"56"	"9"	"12"	"5"	"7"	"7"	"0"	"12"	"2"	"17"	"1"	"4"	"3"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"13"	"1"	"0"	"275"	"275"	"1"	"0"
"9187"	"4"	"9"	"1"	"2"	"400"	"17"	"8"	"36"	"15"	"16"	"5"	"14"	"1"	"53"	"4"	"12"	"2"	"13"	"14"	"3"	"5"	"2"	"10"	"1"	"2"	"5"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"12"	"3"	"0"	"258"	"258"	"1"	"0"
"9188"	"4"	"9"	"1"	"2"	"401"	"19"	"9"	"23"	"11"	"20"	"3"	"10"	"0"	"40"	"6"	"17"	"6"	"5"	"10"	"0"	"10"	"3"	"14"	"1"	"2"	"9"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"12"	"3"	"0"	"238"	"238"	"1"	"0"
"9189"	"4"	"9"	"1"	"2"	"406"	"16"	"12"	"22"	"7"	"22"	"2"	"8"	"3"	"55"	"5"	"9"	"3"	"6"	"9"	"0"	"10"	"4"	"12"	"5"	"6"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"219"	"10"	"1"	"4"	"230"	"230"	"1"	"0"
"9190"	"4"	"9"	"1"	"2"	"400"	"11"	"13"	"20"	"7"	"30"	"1"	"8"	"1"	"52"	"11"	"15"	"1"	"12"	"10"	"5"	"13"	"4"	"14"	"3"	"5"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"12"	"2"	"0"	"257"	"257"	"1"	"0"
"9191"	"4"	"9"	"1"	"2"	"354"	"21"	"7"	"26"	"11"	"39"	"3"	"19"	"6"	"54"	"2"	"8"	"3"	"8"	"6"	"6"	"8"	"6"	"10"	"2"	"5"	"4"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"258"	"4"	"1"	"0"	"357"	"263"	"0"	"0"
"9192"	"4"	"9"	"1"	"2"	"356"	"17"	"8"	"25"	"12"	"29"	"0"	"7"	"2"	"51"	"7"	"9"	"2"	"5"	"2"	"1"	"9"	"1"	"15"	"4"	"5"	"2"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"219"	"8"	"0"	"0"	"227"	"227"	"1"	"0"
