"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"PC"	"UNE"	"TODOS"	"VIVA"	"URNG_MAIZ"	"EG"	"CONVERGENCIA"	"VALOR"	"SEMILLA"	"FUERZA"	"UCN"	"BIEN"	"PODEMOS"	"PHG"	"FCN_NACION"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"14552"	"4"	"14"	"1"	"2"	"377"	"54"	"34"	"91"	"1"	"2"	"1"	"3"	"8"	"2"	"4"	"8"	"9"	"4"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"8"	"14"	"0"	"246"	"246"	"1"	"0"
"14553"	"4"	"14"	"1"	"2"	"376"	"53"	"29"	"100"	"4"	"4"	"2"	"5"	"2"	"2"	"2"	"5"	"5"	"3"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"10"	"16"	"0"	"243"	"243"	"1"	"0"
"14554"	"4"	"14"	"1"	"2"	"287"	"41"	"26"	"60"	"2"	"4"	"2"	"5"	"2"	"4"	"1"	"3"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"154"	"154"	"8"	"9"	"0"	"171"	"171"	"1"	"1"
"14555"	"4"	"14"	"1"	"2"	"284"	"33"	"28"	"111"	"2"	"2"	"5"	"2"	"2"	"4"	"4"	"4"	"3"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"204"	"204"	"4"	"5"	"0"	"213"	"213"	"1"	"0"
"14556"	"4"	"14"	"1"	"2"	"377"	"28"	"21"	"60"	"17"	"3"	"6"	"8"	"5"	"5"	"0"	"10"	"7"	"1"	"1"	"2"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"184"	"184"	"26"	"23"	"0"	"233"	"233"	"1"	"0"
"14557"	"4"	"14"	"1"	"1"	"380"	"18"	"26"	"59"	"31"	"3"	"4"	"9"	"3"	"2"	"2"	"7"	"11"	"2"	"0"	"3"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"192"	"192"	"25"	"26"	"0"	"243"	"243"	"1"	"0"
"14558"	"4"	"14"	"1"	"2"	"376"	"19"	"23"	"57"	"20"	"3"	"2"	"12"	"1"	"6"	"1"	"5"	"13"	"2"	"0"	"1"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"177"	"177"	"20"	"17"	"0"	"214"	"214"	"1"	"0"
"14559"	"4"	"14"	"1"	"2"	"0"	"24"	"27"	"43"	"21"	"4"	"2"	"8"	"7"	"5"	"0"	"8"	"4"	"1"	"0"	"3"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"171"	"171"	"34"	"19"	"0"	"224"	"224"	"1"	"0"
"14560"	"4"	"14"	"1"	"2"	"374"	"25"	"35"	"56"	"16"	"5"	"3"	"7"	"4"	"3"	"0"	"15"	"7"	"2"	"0"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"187"	"187"	"27"	"25"	"0"	"239"	"239"	"1"	"0"
"14561"	"4"	"14"	"1"	"2"	"380"	"26"	"26"	"49"	"23"	"0"	"8"	"14"	"3"	"1"	"0"	"7"	"7"	"0"	"1"	"1"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"185"	"185"	"34"	"18"	"0"	"237"	"237"	"1"	"0"
"14562"	"4"	"14"	"1"	"2"	"0"	"17"	"22"	"56"	"28"	"3"	"3"	"10"	"3"	"2"	"0"	"10"	"7"	"0"	"2"	"1"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"179"	"179"	"29"	"17"	"0"	"225"	"225"	"1"	"0"
"14563"	"4"	"14"	"1"	"2"	"0"	"12"	"21"	"49"	"16"	"0"	"2"	"11"	"3"	"4"	"1"	"14"	"2"	"0"	"0"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"141"	"141"	"22"	"17"	"196"	"180"	"180"	"1"	"0"
"14564"	"4"	"14"	"1"	"2"	"206"	"5"	"7"	"20"	"18"	"0"	"2"	"4"	"2"	"3"	"0"	"5"	"9"	"0"	"0"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"101"	"81"	"7"	"13"	"0"	"0"	"101"	"0"	"0"
"14565"	"4"	"14"	"1"	"2"	"0"	"5"	"14"	"25"	"17"	"0"	"1"	"3"	"1"	"6"	"1"	"6"	"3"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"68"	"85"	"24"	"8"	"0"	"100"	"117"	"0"	"0"
