"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UNE"	"VALOR"	"UCN"	"FCN_NACION"	"CREO"	"SEMILLA"	"CCP"	"PC"	"EG"	"VICTORIA"	"LIBRE"	"BIEN"	"MLP"	"TODOS"	"FUERZA"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"18394"	"4"	"18"	"1"	"2"	"380"	"13"	"19"	"5"	"13"	"0"	"2"	"31"	"2"	"101"	"4"	"1"	"4"	"8"	"2"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"210"	"210"	"9"	"2"	"0"	"221"	"221"	"1"	"0"
"18395"	"4"	"18"	"1"	"2"	"380"	"8"	"13"	"1"	"15"	"2"	"0"	"38"	"0"	"108"	"5"	"1"	"4"	"4"	"1"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"204"	"204"	"8"	"4"	"0"	"216"	"216"	"1"	"0"
"18396"	"4"	"18"	"1"	"2"	"380"	"15"	"19"	"2"	"4"	"2"	"1"	"41"	"0"	"107"	"2"	"1"	"2"	"7"	"1"	"6"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"11"	"3"	"0"	"226"	"226"	"1"	"0"
"18397"	"4"	"18"	"1"	"2"	"380"	"6"	"20"	"2"	"13"	"3"	"2"	"45"	"1"	"114"	"0"	"0"	"2"	"7"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"3"	"2"	"0"	"223"	"223"	"1"	"0"
"18398"	"4"	"18"	"1"	"2"	"380"	"10"	"16"	"2"	"5"	"2"	"0"	"28"	"0"	"79"	"2"	"0"	"4"	"11"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"162"	"162"	"25"	"5"	"0"	"192"	"192"	"1"	"0"
"18399"	"4"	"18"	"1"	"2"	"380"	"11"	"11"	"6"	"12"	"0"	"1"	"37"	"0"	"100"	"2"	"0"	"4"	"6"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"193"	"193"	"8"	"3"	"11"	"204"	"204"	"1"	"0"
"18400"	"4"	"18"	"1"	"2"	"380"	"17"	"15"	"7"	"4"	"0"	"2"	"57"	"0"	"152"	"8"	"0"	"5"	"9"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"280"	"280"	"2"	"0"	"0"	"282"	"282"	"1"	"1"
"18401"	"4"	"18"	"1"	"2"	"380"	"12"	"14"	"4"	"9"	"0"	"1"	"36"	"3"	"156"	"5"	"0"	"3"	"3"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"0"	"0"	"0"	"250"	"250"	"1"	"0"
"18402"	"4"	"18"	"1"	"2"	"380"	"10"	"18"	"1"	"9"	"2"	"1"	"37"	"0"	"115"	"6"	"0"	"4"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"4"	"1"	"0"	"212"	"212"	"1"	"0"
"18403"	"4"	"18"	"1"	"2"	"0"	"4"	"9"	"1"	"2"	"0"	"2"	"18"	"1"	"68"	"2"	"0"	"1"	"3"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"115"	"115"	"3"	"0"	"0"	"118"	"118"	"1"	"0"
"18404"	"4"	"18"	"1"	"2"	"239"	"7"	"10"	"2"	"4"	"0"	"0"	"21"	"0"	"53"	"7"	"2"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"109"	"109"	"0"	"1"	"6"	"110"	"110"	"1"	"0"
