"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"TODOS"	"VAMOS"	"VICTORIA"	"UNIONISTA"	"VALOR"	"SANTIAGO_DE_LOS_CABALLEROS"	"VIVA"	"FUERZA"	"PHG"	"SOS"	"CREO"	"EG"	"PC"	"MLP"	"CAMBIO"	"PPT"	"LIBRE"	"SEMILLA"	"UCN"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"4702"	"4"	"2"	"1"	"2"	"274"	"34"	"24"	"2"	"3"	"21"	"3"	"16"	"10"	"8"	"4"	"10"	"3"	"1"	"10"	"5"	"52"	"0"	"6"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"215"	"3"	"0"	"0"	"220"	"218"	"0"	"1"
"4703"	"4"	"2"	"1"	"2"	"377"	"6"	"73"	"16"	"5"	"47"	"6"	"3"	"15"	"8"	"2"	"2"	"1"	"7"	"15"	"11"	"53"	"1"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"9"	"0"	"0"	"286"	"286"	"1"	"0"
"4704"	"4"	"2"	"1"	"2"	"376"	"4"	"92"	"12"	"3"	"48"	"5"	"9"	"12"	"9"	"3"	"6"	"6"	"5"	"11"	"11"	"53"	"2"	"6"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"300"	"300"	"12"	"0"	"0"	"312"	"312"	"1"	"0"
"4705"	"4"	"2"	"1"	"2"	"400"	"42"	"51"	"12"	"10"	"37"	"5"	"8"	"11"	"5"	"1"	"10"	"2"	"4"	"5"	"4"	"30"	"6"	"14"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"8"	"8"	"0"	"277"	"277"	"1"	"0"
"4706"	"4"	"2"	"1"	"2"	"399"	"30"	"60"	"17"	"7"	"36"	"6"	"17"	"12"	"4"	"3"	"8"	"1"	"9"	"14"	"3"	"37"	"4"	"12"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"285"	"285"	"10"	"5"	"0"	"300"	"300"	"1"	"0"
"4707"	"4"	"2"	"1"	"2"	"400"	"17"	"68"	"22"	"10"	"28"	"6"	"14"	"14"	"6"	"2"	"17"	"2"	"9"	"9"	"2"	"40"	"2"	"8"	"7"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"285"	"285"	"10"	"4"	"0"	"299"	"299"	"1"	"0"
"4708"	"4"	"2"	"1"	"2"	"400"	"44"	"51"	"9"	"3"	"26"	"9"	"13"	"12"	"7"	"2"	"12"	"1"	"5"	"9"	"4"	"41"	"2"	"5"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"4"	"1"	"0"	"265"	"265"	"1"	"0"
"4709"	"4"	"2"	"1"	"2"	"396"	"44"	"54"	"18"	"8"	"37"	"7"	"10"	"10"	"2"	"2"	"11"	"3"	"5"	"5"	"3"	"48"	"1"	"7"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"7"	"11"	"0"	"299"	"299"	"1"	"0"
"4710"	"4"	"2"	"1"	"2"	"396"	"36"	"53"	"15"	"5"	"37"	"5"	"12"	"10"	"3"	"2"	"6"	"2"	"6"	"12"	"2"	"42"	"2"	"9"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"12"	"4"	"0"	"277"	"277"	"1"	"0"
"4711"	"4"	"2"	"1"	"2"	"396"	"54"	"48"	"12"	"4"	"43"	"7"	"6"	"4"	"4"	"2"	"13"	"1"	"5"	"15"	"4"	"30"	"0"	"12"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"10"	"6"	"0"	"283"	"283"	"1"	"0"
