"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"PHG"	"VAMOS"	"UCN"	"URNG_MAIZ"	"FUERZA"	"PC"	"PPT"	"TODOS"	"FCN_NACION"	"UNIONISTA"	"UNE"	"SEMILLA"	"CREO"	"PAN"	"VALOR"	"VIVA"	"CONVERGENCIA"	"PODEMOS"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"12970"	"4"	"13"	"1"	"2"	"400"	"5"	"83"	"22"	"4"	"4"	"16"	"2"	"3"	"36"	"8"	"9"	"6"	"5"	"4"	"10"	"6"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"6"	"6"	"0"	"238"	"238"	"1"	"0"
"12971"	"4"	"13"	"1"	"2"	"396"	"13"	"62"	"22"	"9"	"4"	"19"	"6"	"7"	"40"	"8"	"12"	"2"	"0"	"3"	"5"	"5"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"4"	"5"	"0"	"232"	"232"	"1"	"0"
"12972"	"4"	"13"	"1"	"2"	"400"	"3"	"2"	"22"	"4"	"4"	"19"	"3"	"5"	"30"	"8"	"10"	"4"	"1"	"4"	"7"	"4"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"195"	"135"	"9"	"5"	"0"	"209"	"149"	"0"	"0"
"12973"	"4"	"13"	"1"	"2"	"396"	"5"	"69"	"25"	"1"	"4"	"13"	"4"	"3"	"34"	"4"	"6"	"8"	"3"	"6"	"4"	"5"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"199"	"199"	"9"	"3"	"0"	"211"	"211"	"1"	"0"
"12974"	"4"	"13"	"1"	"2"	"400"	"5"	"77"	"22"	"1"	"3"	"23"	"4"	"6"	"33"	"5"	"8"	"5"	"0"	"4"	"8"	"5"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"5"	"2"	"0"	"221"	"221"	"1"	"0"
"12975"	"4"	"13"	"1"	"2"	"380"	"9"	"114"	"30"	"3"	"4"	"27"	"5"	"5"	"45"	"5"	"7"	"15"	"0"	"0"	"4"	"3"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"280"	"280"	"3"	"0"	"1"	"283"	"283"	"1"	"0"
"12976"	"4"	"13"	"1"	"2"	"380"	"10"	"83"	"25"	"8"	"3"	"17"	"6"	"7"	"31"	"8"	"9"	"9"	"2"	"3"	"7"	"7"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"2"	"2"	"0"	"243"	"243"	"1"	"0"
"12977"	"4"	"13"	"1"	"2"	"303"	"7"	"38"	"74"	"5"	"1"	"6"	"3"	"2"	"18"	"5"	"8"	"0"	"0"	"1"	"3"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"176"	"176"	"8"	"3"	"0"	"187"	"187"	"1"	"0"
"12978"	"4"	"13"	"1"	"2"	"376"	"7"	"47"	"92"	"4"	"1"	"3"	"0"	"2"	"29"	"4"	"7"	"2"	"0"	"2"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"204"	"204"	"14"	"4"	"0"	"222"	"222"	"1"	"0"
"12979"	"4"	"13"	"1"	"2"	"378"	"6"	"32"	"88"	"4"	"3"	"6"	"1"	"2"	"28"	"7"	"5"	"1"	"1"	"0"	"6"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"192"	"192"	"13"	"11"	"0"	"216"	"216"	"1"	"0"
"12980"	"4"	"13"	"1"	"2"	"380"	"8"	"36"	"106"	"4"	"7"	"7"	"2"	"2"	"29"	"6"	"8"	"5"	"1"	"1"	"5"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"11"	"6"	"0"	"247"	"247"	"1"	"0"
"12981"	"4"	"13"	"1"	"2"	"380"	"5"	"28"	"86"	"2"	"2"	"8"	"3"	"1"	"26"	"3"	"5"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"171"	"171"	"4"	"3"	"0"	"178"	"178"	"1"	"0"
