"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"VALOR"	"PC"	"WINAQ"	"COCIM"	"URNG_MAIZ"	"VIVA"	"BIEN"	"SEMILLA"	"MLP"	"VAMOS"	"FUERZA"	"UCN"	"FCN_NACION"	"UNIDOS"	"CCT"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"14813"	"4"	"14"	"6"	"2"	"377"	"47"	"20"	"26"	"1"	"10"	"1"	"2"	"2"	"1"	"4"	"87"	"0"	"1"	"3"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"23"	"147"	"0"	"377"	"377"	"1"	"0"
"14814"	"4"	"14"	"6"	"2"	"376"	"59"	"14"	"26"	"0"	"11"	"4"	"3"	"3"	"1"	"6"	"92"	"7"	"2"	"12"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"6"	"9"	"0"	"259"	"259"	"1"	"0"
"14815"	"4"	"14"	"6"	"1"	"380"	"52"	"23"	"6"	"7"	"9"	"3"	"4"	"7"	"0"	"9"	"103"	"2"	"1"	"9"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"14"	"9"	"0"	"266"	"266"	"1"	"0"
"14816"	"4"	"14"	"6"	"2"	"379"	"47"	"19"	"8"	"4"	"14"	"2"	"6"	"10"	"0"	"2"	"110"	"4"	"0"	"20"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"8"	"16"	"0"	"273"	"273"	"1"	"0"
"14817"	"4"	"14"	"6"	"2"	"376"	"42"	"17"	"7"	"0"	"10"	"1"	"6"	"5"	"1"	"4"	"133"	"2"	"0"	"18"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"13"	"13"	"0"	"275"	"275"	"1"	"0"
"14818"	"4"	"14"	"6"	"2"	"380"	"43"	"41"	"49"	"3"	"0"	"2"	"2"	"0"	"0"	"5"	"54"	"3"	"3"	"11"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"218"	"12"	"5"	"0"	"247"	"235"	"0"	"0"
"14819"	"4"	"14"	"6"	"2"	"376"	"48"	"27"	"44"	"4"	"18"	"4"	"6"	"3"	"0"	"4"	"34"	"5"	"1"	"7"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"210"	"210"	"17"	"13"	"0"	"240"	"240"	"1"	"0"
"14820"	"4"	"14"	"6"	"2"	"376"	"45"	"25"	"9"	"3"	"13"	"0"	"1"	"3"	"0"	"8"	"65"	"2"	"0"	"16"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"194"	"194"	"4"	"6"	"0"	"204"	"204"	"1"	"0"
"14821"	"4"	"14"	"6"	"2"	"380"	"43"	"26"	"12"	"6"	"0"	"4"	"6"	"3"	"1"	"16"	"51"	"6"	"1"	"20"	"0"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"207"	"9"	"15"	"0"	"255"	"231"	"0"	"0"
"14822"	"4"	"14"	"6"	"2"	"380"	"46"	"26"	"16"	"5"	"22"	"3"	"11"	"2"	"0"	"12"	"48"	"7"	"1"	"20"	"4"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"20"	"5"	"0"	"261"	"261"	"1"	"0"
"14823"	"4"	"14"	"6"	"2"	"376"	"34"	"26"	"13"	"3"	"8"	"7"	"3"	"3"	"2"	"4"	"56"	"2"	"0"	"10"	"1"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"182"	"182"	"5"	"8"	"0"	"195"	"195"	"1"	"0"
"14824"	"4"	"14"	"6"	"2"	"380"	"61"	"18"	"21"	"7"	"18"	"6"	"15"	"5"	"2"	"6"	"38"	"5"	"1"	"15"	"0"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"14"	"9"	"0"	"252"	"252"	"1"	"0"
"14825"	"4"	"14"	"6"	"2"	"380"	"58"	"15"	"11"	"3"	"19"	"4"	"3"	"0"	"0"	"5"	"64"	"7"	"3"	"16"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"19"	"12"	"2"	"246"	"246"	"1"	"0"
"14826"	"4"	"14"	"6"	"2"	"380"	"32"	"24"	"21"	"3"	"23"	"3"	"5"	"0"	"1"	"7"	"74"	"5"	"0"	"8"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"0"	"8"	"17"	"220"	"220"	"1"	"0"
"14827"	"4"	"14"	"6"	"2"	"380"	"40"	"14"	"22"	"4"	"26"	"2"	"9"	"5"	"1"	"4"	"52"	"4"	"0"	"7"	"2"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"202"	"202"	"10"	"9"	"0"	"221"	"221"	"1"	"0"
"14828"	"4"	"14"	"6"	"2"	"380"	"47"	"17"	"0"	"1"	"0"	"3"	"4"	"3"	"0"	"7"	"45"	"2"	"0"	"10"	"0"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"191"	"149"	"8"	"16"	"4"	"215"	"173"	"0"	"0"
"14829"	"4"	"14"	"6"	"2"	"378"	"35"	"21"	"14"	"3"	"28"	"4"	"1"	"3"	"0"	"4"	"58"	"3"	"1"	"7"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"187"	"187"	"6"	"7"	"0"	"200"	"200"	"1"	"0"
