"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"FUERZA"	"PC"	"VAMOS"	"UNIDOS"	"PODEMOS"	"SEMILLA"	"FCN_NACION"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"15186"	"4"	"14"	"12"	"2"	"400"	"157"	"1"	"21"	"3"	"3"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"187"	"187"	"7"	"5"	"0"	"199"	"199"	"1"	"0"
"15187"	"4"	"14"	"12"	"2"	"400"	"132"	"2"	"51"	"4"	"2"	"3"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"197"	"197"	"3"	"10"	"0"	"210"	"210"	"1"	"0"
"15188"	"4"	"14"	"12"	"2"	"400"	"147"	"1"	"69"	"4"	"5"	"1"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"11"	"12"	"0"	"255"	"255"	"1"	"0"
"15189"	"4"	"14"	"12"	"2"	"400"	"176"	"4"	"40"	"4"	"4"	"1"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"10"	"14"	"0"	"262"	"262"	"1"	"0"
"15190"	"4"	"14"	"12"	"2"	"400"	"193"	"1"	"30"	"6"	"1"	"1"	"3"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"2"	"2"	"0"	"252"	"252"	"1"	"0"
"15191"	"4"	"14"	"12"	"2"	"400"	"115"	"2"	"30"	"5"	"0"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"156"	"156"	"0"	"4"	"0"	"160"	"160"	"1"	"0"
"15192"	"4"	"14"	"12"	"2"	"400"	"131"	"1"	"27"	"4"	"2"	"3"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"174"	"174"	"2"	"8"	"0"	"184"	"184"	"1"	"0"
"15193"	"4"	"14"	"12"	"2"	"266"	"92"	"2"	"16"	"1"	"0"	"1"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"115"	"115"	"2"	"5"	"0"	"122"	"122"	"1"	"0"
"15194"	"4"	"14"	"12"	"2"	"266"	"119"	"0"	"23"	"3"	"2"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"149"	"149"	"2"	"3"	"0"	"154"	"154"	"1"	"0"
"15195"	"4"	"14"	"12"	"2"	"400"	"227"	"1"	"18"	"3"	"1"	"1"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"5"	"3"	"0"	"263"	"263"	"1"	"0"
