"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"FUERZA"	"CREO"	"UNIONISTA"	"CONVERGENCIA"	"VALOR"	"UNE"	"UNIDOS"	"LIBRE"	"VICTORIA"	"FCN_NACION"	"BIEN"	"PHG"	"PC"	"URNG_MAIZ"	"VIVA"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"4334"	"4"	"1"	"16"	"2"	"374"	"7"	"11"	"5"	"24"	"1"	"54"	"62"	"2"	"26"	"6"	"4"	"3"	"9"	"1"	"6"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"12"	"1"	"0"	"246"	"246"	"1"	"0"
"4335"	"4"	"1"	"16"	"2"	"370"	"7"	"15"	"10"	"27"	"0"	"51"	"75"	"2"	"35"	"12"	"4"	"3"	"6"	"3"	"5"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"3"	"1"	"0"	"264"	"264"	"1"	"0"
"4336"	"4"	"1"	"16"	"2"	"376"	"4"	"10"	"10"	"32"	"0"	"60"	"64"	"2"	"18"	"14"	"4"	"1"	"7"	"1"	"5"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"8"	"4"	"0"	"250"	"250"	"1"	"0"
"4337"	"4"	"1"	"16"	"2"	"373"	"12"	"5"	"9"	"29"	"3"	"42"	"70"	"0"	"22"	"10"	"5"	"3"	"12"	"0"	"3"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"13"	"4"	"0"	"254"	"254"	"1"	"0"
"4338"	"4"	"1"	"16"	"1"	"379"	"15"	"13"	"6"	"33"	"2"	"50"	"65"	"4"	"17"	"15"	"4"	"2"	"11"	"0"	"4"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"7"	"2"	"0"	"256"	"256"	"1"	"0"
"4339"	"4"	"1"	"16"	"2"	"378"	"8"	"18"	"5"	"35"	"1"	"53"	"60"	"1"	"22"	"10"	"3"	"1"	"8"	"2"	"7"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"8"	"5"	"0"	"254"	"254"	"1"	"0"
"4340"	"4"	"1"	"16"	"2"	"0"	"11"	"25"	"10"	"23"	"0"	"45"	"95"	"2"	"12"	"8"	"0"	"3"	"6"	"1"	"5"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"17"	"3"	"0"	"270"	"270"	"1"	"0"
"4341"	"4"	"1"	"16"	"1"	"376"	"11"	"14"	"7"	"19"	"3"	"56"	"78"	"2"	"18"	"19"	"3"	"2"	"5"	"1"	"2"	"9"	"0"	"0"	"0"	"0"	"3"	"2"	"5"	"1"	"2"	"9"	"0"	"0"	"0"	"0"	"249"	"249"	"14"	"2"	"0"	"265"	"265"	"1"	"0"
"4342"	"4"	"1"	"16"	"2"	"0"	"7"	"10"	"7"	"27"	"0"	"48"	"75"	"3"	"15"	"16"	"8"	"5"	"8"	"2"	"4"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"10"	"2"	"0"	"252"	"252"	"1"	"0"
"4343"	"4"	"1"	"16"	"1"	"0"	"10"	"14"	"7"	"25"	"1"	"36"	"72"	"1"	"27"	"20"	"1"	"1"	"11"	"4"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"9"	"4"	"1"	"250"	"250"	"1"	"0"
"4344"	"4"	"1"	"16"	"1"	"380"	"8"	"17"	"10"	"28"	"2"	"63"	"66"	"2"	"15"	"15"	"8"	"5"	"11"	"8"	"4"	"2"	"0"	"0"	"0"	"0"	"8"	"5"	"11"	"8"	"4"	"2"	"0"	"0"	"0"	"0"	"264"	"264"	"14"	"3"	"0"	"281"	"281"	"1"	"0"
"4345"	"4"	"1"	"16"	"2"	"380"	"6"	"15"	"6"	"21"	"2"	"53"	"82"	"6"	"30"	"10"	"1"	"5"	"8"	"5"	"9"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"261"	"14"	"3"	"0"	"280"	"278"	"0"	"0"
"4346"	"4"	"1"	"16"	"2"	"187"	"6"	"16"	"7"	"31"	"2"	"38"	"59"	"2"	"20"	"14"	"3"	"5"	"7"	"0"	"6"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"21"	"3"	"0"	"248"	"248"	"1"	"0"
