"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UNE"	"FCN_NACION"	"FUERZA"	"WINAQ"	"PODEMOS"	"PHG"	"MLP"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"8193"	"4"	"7"	"6"	"2"	"281"	"62"	"103"	"59"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"0"	"3"	"0"	"231"	"231"	"1"	"0"
"8194"	"4"	"7"	"6"	"2"	"382"	"110"	"77"	"123"	"3"	"0"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"317"	"317"	"7"	"10"	"0"	"334"	"334"	"1"	"0"
"8195"	"4"	"7"	"6"	"2"	"380"	"86"	"91"	"130"	"9"	"1"	"0"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"321"	"321"	"16"	"7"	"0"	"344"	"344"	"1"	"0"
"8196"	"4"	"7"	"6"	"2"	"239"	"52"	"64"	"57"	"6"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"180"	"180"	"5"	"2"	"0"	"187"	"187"	"1"	"1"
"8197"	"4"	"7"	"6"	"2"	"238"	"56"	"53"	"62"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"174"	"174"	"3"	"1"	"0"	"178"	"178"	"1"	"0"
"8198"	"4"	"7"	"6"	"2"	"380"	"61"	"154"	"104"	"7"	"0"	"1"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"330"	"330"	"9"	"4"	"0"	"343"	"343"	"1"	"0"
"8199"	"4"	"7"	"6"	"2"	"383"	"70"	"129"	"98"	"4"	"0"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"304"	"304"	"5"	"3"	"0"	"312"	"312"	"1"	"0"
"8200"	"4"	"7"	"6"	"2"	"380"	"55"	"143"	"104"	"8"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"313"	"313"	"3"	"3"	"0"	"319"	"319"	"1"	"1"
"8201"	"4"	"7"	"6"	"2"	"380"	"52"	"146"	"93"	"7"	"1"	"2"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"305"	"305"	"8"	"10"	"0"	"324"	"323"	"0"	"1"
"8202"	"4"	"7"	"6"	"2"	"214"	"30"	"98"	"50"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"181"	"181"	"2"	"4"	"0"	"187"	"187"	"1"	"0"
"8203"	"4"	"7"	"6"	"2"	"213"	"34"	"83"	"63"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"186"	"186"	"3"	"2"	"0"	"191"	"191"	"1"	"0"
"8204"	"4"	"7"	"6"	"2"	"380"	"52"	"212"	"45"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"313"	"313"	"3"	"1"	"0"	"317"	"317"	"1"	"0"
"8205"	"4"	"7"	"6"	"2"	"380"	"50"	"217"	"54"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"326"	"326"	"1"	"4"	"0"	"331"	"331"	"1"	"0"
"8206"	"4"	"7"	"6"	"2"	"379"	"40"	"208"	"41"	"3"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"294"	"294"	"6"	"8"	"0"	"308"	"308"	"1"	"0"
"8207"	"4"	"7"	"6"	"2"	"380"	"56"	"192"	"46"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"300"	"300"	"5"	"0"	"0"	"305"	"305"	"1"	"0"
"8208"	"4"	"7"	"6"	"2"	"383"	"37"	"220"	"52"	"3"	"0"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"315"	"315"	"6"	"4"	"0"	"325"	"325"	"1"	"0"
