"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"TODOS"	"UNE"	"CREO"	"BIEN"	"UNIDOS"	"VICTORIA"	"FCN_NACION"	"PHG"	"PC"	"FUERZA"	"UNIONISTA"	"VALOR"	"MLP"	"PAN"	"UCN"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"6147"	"3"	"4"	"6"	"2"	"380"	"3"	"66"	"105"	"1"	"4"	"0"	"1"	"14"	"4"	"0"	"1"	"0"	"0"	"12"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"19"	"21"	"0"	"254"	"254"	"1"	"0"
"6148"	"3"	"4"	"6"	"2"	"204"	"2"	"21"	"47"	"3"	"3"	"0"	"0"	"3"	"3"	"1"	"1"	"1"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"89"	"89"	"1"	"7"	"0"	"97"	"97"	"1"	"0"
"6149"	"3"	"4"	"6"	"2"	"201"	"4"	"39"	"57"	"1"	"2"	"0"	"1"	"4"	"1"	"0"	"1"	"1"	"1"	"7"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"121"	"121"	"1"	"7"	"0"	"129"	"129"	"1"	"0"
"6150"	"3"	"4"	"6"	"2"	"511"	"4"	"27"	"39"	"4"	"2"	"2"	"1"	"2"	"2"	"1"	"3"	"3"	"6"	"9"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"108"	"108"	"7"	"6"	"0"	"121"	"121"	"1"	"0"
"6151"	"3"	"4"	"7"	"2"	"403"	"4"	"5"	"88"	"8"	"11"	"3"	"0"	"60"	"6"	"0"	"2"	"0"	"1"	"8"	"8"	"61"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"265"	"265"	"21"	"14"	"0"	"300"	"300"	"1"	"0"
"6152"	"3"	"4"	"7"	"2"	"400"	"7"	"4"	"84"	"13"	"7"	"4"	"1"	"48"	"14"	"0"	"0"	"0"	"5"	"11"	"0"	"57"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"20"	"15"	"0"	"290"	"290"	"1"	"0"
"6153"	"3"	"4"	"7"	"2"	"400"	"2"	"14"	"86"	"15"	"9"	"0"	"0"	"46"	"6"	"1"	"1"	"1"	"4"	"9"	"8"	"55"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"22"	"12"	"0"	"291"	"291"	"1"	"0"
"6154"	"3"	"4"	"7"	"2"	"400"	"3"	"12"	"97"	"12"	"18"	"4"	"1"	"51"	"7"	"0"	"2"	"1"	"7"	"6"	"4"	"57"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"282"	"282"	"19"	"6"	"0"	"307"	"307"	"1"	"0"
"6155"	"3"	"4"	"7"	"2"	"400"	"4"	"9"	"106"	"19"	"13"	"0"	"2"	"55"	"7"	"0"	"2"	"0"	"6"	"7"	"3"	"53"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"286"	"286"	"24"	"17"	"0"	"327"	"327"	"1"	"0"
"6156"	"3"	"4"	"7"	"2"	"398"	"4"	"16"	"100"	"12"	"15"	"0"	"0"	"41"	"5"	"0"	"2"	"0"	"7"	"3"	"4"	"44"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"26"	"12"	"0"	"291"	"291"	"1"	"1"
