"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"CREO"	"VAMOS"	"FCN_NACION"	"MLP"	"TODOS"	"WINAQ"	"UNE"	"PC"	"VALOR"	"UCN"	"PODEMOS"	"BIEN"	"VIVA"	"SEMILLA"	"UNIDOS"	"CONVERGENCIA"	"PPT"	"UNIONISTA"	"VICTORIA"	"LIBRE"	"EG"	"PAN"	"FUERZA"	"URNG_MAIZ"	"PHG"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"16829"	"3"	"16"	"9"	"2"	"400"	"1"	"4"	"19"	"2"	"5"	"14"	"22"	"9"	"3"	"3"	"7"	"8"	"30"	"1"	"0"	"1"	"2"	"2"	"76"	"7"	"1"	"3"	"6"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"37"	"6"	"0"	"274"	"274"	"1"	"0"
"16830"	"3"	"16"	"9"	"2"	"400"	"1"	"6"	"10"	"0"	"1"	"3"	"36"	"10"	"5"	"3"	"10"	"12"	"24"	"3"	"0"	"0"	"2"	"0"	"72"	"3"	"1"	"3"	"2"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"27"	"21"	"0"	"260"	"260"	"1"	"0"
"16831"	"3"	"16"	"9"	"2"	"400"	"1"	"5"	"15"	"2"	"4"	"7"	"27"	"6"	"6"	"1"	"6"	"13"	"29"	"3"	"0"	"1"	"1"	"1"	"63"	"2"	"0"	"2"	"2"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"202"	"202"	"33"	"18"	"0"	"253"	"253"	"1"	"0"
"16832"	"3"	"16"	"9"	"2"	"400"	"2"	"8"	"13"	"1"	"3"	"11"	"18"	"10"	"2"	"2"	"3"	"13"	"17"	"8"	"0"	"4"	"1"	"2"	"54"	"3"	"1"	"2"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"185"	"185"	"37"	"20"	"0"	"242"	"242"	"1"	"0"
"16833"	"3"	"16"	"9"	"2"	"304"	"4"	"3"	"3"	"3"	"0"	"5"	"17"	"8"	"2"	"6"	"10"	"11"	"29"	"2"	"0"	"0"	"1"	"1"	"32"	"3"	"1"	"2"	"2"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"148"	"148"	"19"	"9"	"0"	"176"	"176"	"1"	"0"
"16834"	"3"	"16"	"9"	"2"	"304"	"2"	"7"	"8"	"4"	"2"	"6"	"13"	"10"	"2"	"5"	"3"	"8"	"31"	"3"	"0"	"1"	"0"	"4"	"42"	"1"	"0"	"1"	"2"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"158"	"158"	"8"	"8"	"5"	"174"	"174"	"1"	"0"
"16835"	"3"	"16"	"9"	"2"	"377"	"0"	"0"	"4"	"2"	"4"	"3"	"41"	"7"	"2"	"3"	"11"	"0"	"34"	"0"	"0"	"1"	"1"	"1"	"78"	"1"	"0"	"1"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"202"	"202"	"34"	"19"	"0"	"255"	"255"	"1"	"0"
"16836"	"3"	"16"	"9"	"2"	"324"	"0"	"4"	"10"	"0"	"2"	"6"	"21"	"2"	"4"	"3"	"7"	"0"	"35"	"1"	"0"	"1"	"1"	"0"	"56"	"0"	"0"	"1"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"160"	"160"	"39"	"9"	"116"	"208"	"208"	"1"	"0"
"16837"	"3"	"16"	"9"	"2"	"380"	"1"	"0"	"2"	"0"	"1"	"3"	"26"	"5"	"1"	"3"	"7"	"3"	"47"	"0"	"0"	"0"	"2"	"7"	"71"	"3"	"0"	"1"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"184"	"187"	"43"	"13"	"0"	"240"	"243"	"0"	"0"
"16838"	"3"	"16"	"9"	"2"	"380"	"2"	"3"	"5"	"1"	"6"	"6"	"23"	"7"	"3"	"5"	"8"	"3"	"53"	"0"	"0"	"0"	"0"	"0"	"65"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"191"	"191"	"26"	"11"	"2"	"230"	"228"	"0"	"0"
"16839"	"3"	"16"	"9"	"2"	"380"	"2"	"0"	"6"	"0"	"3"	"6"	"28"	"3"	"4"	"0"	"4"	"4"	"37"	"0"	"0"	"0"	"2"	"1"	"72"	"2"	"0"	"0"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"78"	"181"	"35"	"18"	"0"	"131"	"234"	"0"	"0"
"16840"	"3"	"16"	"9"	"2"	"380"	"0"	"3"	"7"	"0"	"4"	"1"	"37"	"8"	"1"	"3"	"8"	"2"	"32"	"0"	"0"	"1"	"1"	"0"	"58"	"4"	"0"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"176"	"176"	"41"	"11"	"0"	"228"	"228"	"1"	"0"
"16841"	"3"	"16"	"9"	"2"	"380"	"2"	"1"	"10"	"1"	"5"	"1"	"55"	"6"	"1"	"5"	"8"	"0"	"23"	"0"	"3"	"0"	"1"	"2"	"78"	"0"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"206"	"206"	"34"	"18"	"0"	"258"	"258"	"1"	"0"
"16842"	"3"	"16"	"9"	"2"	"379"	"1"	"3"	"10"	"1"	"2"	"9"	"35"	"4"	"1"	"3"	"7"	"3"	"53"	"0"	"0"	"1"	"0"	"1"	"100"	"2"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"44"	"9"	"0"	"291"	"291"	"1"	"0"
"16843"	"3"	"16"	"9"	"2"	"377"	"0"	"0"	"3"	"2"	"2"	"4"	"27"	"4"	"2"	"2"	"12"	"2"	"44"	"1"	"2"	"1"	"1"	"0"	"84"	"0"	"0"	"0"	"5"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"203"	"203"	"52"	"18"	"0"	"273"	"273"	"1"	"0"
"16844"	"3"	"16"	"9"	"2"	"377"	"1"	"3"	"10"	"1"	"5"	"5"	"26"	"1"	"3"	"3"	"9"	"0"	"38"	"1"	"0"	"0"	"2"	"0"	"74"	"0"	"0"	"0"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"189"	"188"	"32"	"14"	"0"	"235"	"234"	"0"	"0"
"16845"	"3"	"16"	"9"	"2"	"374"	"0"	"0"	"4"	"1"	"3"	"5"	"22"	"7"	"4"	"2"	"8"	"1"	"37"	"0"	"0"	"0"	"0"	"0"	"76"	"2"	"1"	"1"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"179"	"179"	"19"	"3"	"0"	"201"	"201"	"1"	"0"
"16846"	"3"	"16"	"9"	"2"	"380"	"0"	"1"	"6"	"0"	"1"	"5"	"23"	"6"	"5"	"5"	"12"	"0"	"31"	"1"	"0"	"0"	"1"	"1"	"63"	"2"	"0"	"2"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"174"	"174"	"0"	"11"	"22"	"185"	"185"	"1"	"0"
"16847"	"3"	"16"	"9"	"2"	"380"	"2"	"1"	"5"	"0"	"4"	"4"	"27"	"4"	"4"	"2"	"9"	"3"	"26"	"0"	"0"	"1"	"0"	"0"	"66"	"1"	"0"	"0"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"163"	"163"	"37"	"12"	"0"	"212"	"212"	"1"	"0"
"16848"	"3"	"16"	"9"	"2"	"380"	"0"	"0"	"3"	"1"	"1"	"3"	"29"	"11"	"1"	"2"	"5"	"2"	"31"	"0"	"1"	"0"	"1"	"4"	"82"	"0"	"0"	"1"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"182"	"182"	"23"	"26"	"0"	"231"	"231"	"1"	"0"
"16849"	"3"	"16"	"9"	"2"	"380"	"2"	"0"	"1"	"0"	"1"	"2"	"25"	"7"	"1"	"2"	"15"	"3"	"51"	"0"	"0"	"0"	"2"	"0"	"70"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"189"	"189"	"25"	"10"	"0"	"224"	"224"	"1"	"0"
"16850"	"3"	"16"	"9"	"2"	"377"	"0"	"1"	"5"	"0"	"2"	"5"	"24"	"4"	"2"	"1"	"10"	"3"	"40"	"1"	"0"	"1"	"0"	"0"	"79"	"0"	"0"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"182"	"182"	"39"	"15"	"0"	"236"	"236"	"1"	"0"
